@relation 'Relase 4 integrated-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R4'

@attribute 'Filters result' {PASSED,FAILED}
@attribute 'Gross profit (IS)' numeric
@attribute 'Gross loss (IS)' numeric
@attribute 'numberof profits (IS)' numeric
@attribute 'numberof trades (IS)' numeric
@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Worst Year Profit (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'AvgProfit Per Year (IS)' numeric
@attribute 'Standard Deviation of Profit Per Year (IS)' numeric
@attribute 'Varianceof Profit Per Year (IS)' numeric
@attribute 'Net profit (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Profit Per Year (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric

@data
PASSED,9013.5,2908.5,20,34,63.64,20,34,14,-272.25,7.63,6.14,0.81,7.63,763.13,609,370880.44,6105,814,101.75,81.2,6593.43,370880.44,1,0.798034
PASSED,8104.5,3180.75,19,34,54.55,19,34,15,-583.5,6.15,5.13,0.73,6.16,615.38,658.52,433646.44,4923.75,656.5,82.06,87.8,7709.27,433646.44,2,1.069949
PASSED,9104.25,2603.25,23,37,63.64,23,37,14,-207.75,8.13,6.46,0.85,8.13,812.63,607.13,368611.45,6501,866.8,108.35,80.95,6553.09,368611.45,1,0.747116
PASSED,7740,2768.25,17,34,54.55,17,34,17,-450.75,6.21,5.17,1.03,6.22,621.38,618.63,382700.67,4971.75,662.9,82.86,82.48,6803.57,382700.67,2,0.995414
PASSED,8733,2757,20,34,63.64,20,34,13,-337.5,7.47,6.03,0.84,7.47,747,641.13,411046.17,5976,796.8,99.6,85.48,7307.49,411046.17,1,0.858233
PASSED,7566.75,3098.25,28,45,63.64,28,45,17,-199.5,5.59,4.73,1.05,5.59,558.5,441.27,194718.34,4468.5,595.8,74.48,58.84,3461.66,194718.34,1,0.790011
PASSED,8357.25,2092.5,27,42,72.73,27,42,15,176.25,7.83,6.27,1.42,7.83,783,372.12,138472.24,6264.75,835.3,104.41,49.62,2461.73,138472.24,0,0.475242
FAILED,7763.25,2316,23,34,63.64,23,34,11,-282,6.81,5.59,1.05,6.81,680.88,572.14,327342.3,5447.25,726.3,90.79,76.29,5819.42,327342.3,1,0.840291
PASSED,9282,3075.75,22,37,63.64,22,37,15,-272.25,7.76,6.22,0.85,7.76,775.75,598.72,358468.02,6206.25,827.5,103.44,79.83,6372.76,358468.02,1,0.771752
PASSED,7690.5,2787.75,21,37,54.55,21,37,16,-371.25,6.13,5.11,0.89,6.13,612.75,541.37,293085.91,4902.75,653.7,81.71,72.18,5210.42,293085.91,2,0.883368
