@relation 'Relase 4 integrated-weka.filters.unsupervised.attribute.Remove-R29-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Remove-R4'

@attribute 'Filters result' {PASSED,FAILED}
@attribute 'Gross profit (IS)' numeric
@attribute 'Gross loss (IS)' numeric
@attribute 'numberof profits (IS)' numeric
@attribute 'numberof trades (IS)' numeric
@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Worst Year Profit (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'AvgProfit Per Year (IS)' numeric
@attribute 'Standard Deviation of Profit Per Year (IS)' numeric
@attribute 'Varianceof Profit Per Year (IS)' numeric
@attribute 'Net profit (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Yearly Profit In Pips (IS)' numeric
@attribute 'Variance of Profit Per Year (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric

@data
PASSED,11612.25,3645,25,37,61.54,25,37,12,162,9.96,7.6,0.76,9.96,995.88,692.95,480184.66,7967.25,1062.3,132.79,92.39,8536.62,480184.66,0,0.69576
PASSED,15429.75,6255,33,49,61.54,33,49,16,80.25,11.47,8.48,0.87,11.47,1146.75,505.74,255771.07,9174.75,1223.3,152.91,67.43,4547.04,255771.07,0,0.440978
PASSED,11943.75,13701,16,32,61.54,16,32,16,-6905.25,-2.2,-2.39,-0.03,-2.2,-219.62,2835.25,8038663.52,-1757.25,-234.3,-29.29,378.03,142909.58,8038663.52,3,-12.906453
FAILED,11931.75,5046.75,26,42,63.64,26,42,16,-726.75,8.61,6.77,0.72,8.61,860.63,966.86,934814.25,6885,918,114.75,128.91,16618.92,934814.25,1,1.123399
FAILED,12314.25,4596.75,26,41,63.64,26,41,15,-726.75,9.65,7.41,0.93,9.65,964.63,1115.04,1243313.83,7717.5,1029,128.62,148.67,22103.36,1243313.83,1,1.155886
FAILED,10823.25,5167.5,24,40,54.55,24,40,16,-720.75,7.07,5.76,0.71,7.07,706.88,926.39,858199.08,5655.75,754.1,94.26,123.52,15256.87,858199.08,2,1.310418
FAILED,11176.5,4252.5,23,36,63.64,23,36,13,-795,8.66,6.8,0.91,8.65,865.5,950.59,903613.08,6924,923.2,115.4,126.74,16064.23,903613.08,1,1.098267
FAILED,11136,4252.5,23,36,63.64,23,36,13,-795,8.6,6.77,0.9,8.6,860.38,947.96,898637.17,6883.5,917.8,114.72,126.4,15975.77,898637.17,1,1.101813
FAILED,10686,4252.5,23,36,63.64,23,36,13,-795,8.04,6.41,0.83,8.04,804.13,870.37,757541.08,6433.5,857.8,107.22,116.05,13467.4,757541.08,1,1.082354
FAILED,11632.5,4596.75,26,41,63.64,26,41,15,-726.75,8.79,6.89,0.85,8.8,879.38,1011.69,1023519.94,7035.75,938.1,117.26,134.89,18195.91,1023519.94,1,1.15035
