@relation 'Relase 4 integrated shortened-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R14'

@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric
@attribute 'Filters result' {PASSED,FAILED}

@data
45.45,23,33,10,4.79,4.14,0.88,4.79,510.5,63.81,103.56,3,1.622943,FAILED
36.36,20,32,12,5.13,4.39,0.84,5.13,547.6,68.45,112.42,4,1.642367,FAILED
36.36,25,41,16,5.97,5,0.84,5.97,637.2,79.65,125.85,4,1.580038,FAILED
36.36,21,33,12,6.8,5.58,0.92,6.8,725.4,90.68,138.92,4,1.531981,FAILED
54.55,27,41,14,6.51,5.38,0.97,6.51,694.6,86.83,115.61,2,1.331452,FAILED
54.55,24,38,13,6.84,5.61,1.02,6.84,729.5,91.19,129.35,2,1.418467,FAILED
54.55,23,32,9,4.85,4.18,0.93,4.84,516.8,64.6,76.51,2,1.184365,FAILED
54.55,23,37,14,6.9,5.65,0.97,6.9,735.8,91.97,115.7,2,1.258019,FAILED
36.36,21,33,12,6.75,5.55,0.91,6.75,720.4,90.05,137.68,4,1.528928,FAILED
45.45,29,45,16,6.8,5.58,0.95,6.8,724.9,90.61,126.76,3,1.398963,FAILED
54.55,23,32,9,3.88,3.44,0.73,3.88,414.1,51.76,70.95,2,1.37075,FAILED
36.36,19,32,13,5.52,4.68,0.77,5.52,588.7,73.59,115.37,4,1.56774,FAILED
45.45,22,38,16,5.06,4.34,0.75,5.06,540,67.5,94.4,3,1.398519,FAILED
54.55,20,32,11,6.85,5.61,1.11,6.85,730.3,91.29,130.23,2,1.426553,FAILED
54.55,20,35,14,5.63,4.76,1.03,5.63,600.4,75.05,97.6,2,1.300466,FAILED
45.45,23,36,13,6.21,5.17,0.87,6.21,662.1,82.76,125.39,3,1.515104,FAILED
54.55,18,32,13,6.05,5.06,1.11,6.05,645.6,80.7,106.88,2,1.324411,FAILED
54.55,22,32,10,5.17,4.42,1.04,5.17,551.4,68.93,100.41,2,1.456695,FAILED
36.36,27,44,17,6.11,5.1,0.8,6.11,651.5,81.44,124.45,4,1.528119,FAILED
45.45,23,33,10,5.81,4.89,0.74,5.81,620,77.5,117.48,3,1.515871,FAILED
36.36,21,34,13,6.44,5.33,0.86,6.44,687.3,85.91,129.67,4,1.50937,FAILED
63.64,22,33,11,7.83,6.27,1.42,7.83,834.9,104.36,126.51,1,1.212246,FAILED
63.64,21,32,11,7.79,6.24,1.41,7.78,830.4,103.8,125.38,1,1.2079,FAILED
54.55,19,35,16,4.82,4.16,0.76,4.82,513.6,64.2,89.61,2,1.395794,FAILED
54.55,23,41,18,4.57,3.97,0.74,4.57,487.5,60.94,86.52,2,1.419757,FAILED
45.45,17,32,15,4.75,4.11,0.77,4.75,506.3,63.29,97.3,3,1.537368,FAILED
45.45,18,33,15,4.83,4.17,0.78,4.83,515,64.37,99.33,3,1.54311,FAILED
45.45,17,33,16,4.57,3.97,0.79,4.57,487.8,60.97,100.71,3,1.651796,FAILED
54.55,20,32,11,7.07,5.77,1.16,7.07,754.5,94.31,136.34,2,1.445658,FAILED
54.55,18,34,16,4.45,3.88,0.78,4.45,474.7,59.34,83.54,2,1.407819,FAILED
36.36,21,33,12,4.8,4.15,0.79,4.8,512.4,64.05,105.02,4,1.639657,FAILED
36.36,20,32,12,5.08,4.36,0.84,5.08,542.3,67.79,111.2,4,1.64036,FAILED
36.36,20,33,13,5.96,5,0.82,5.97,636.2,79.52,123.62,4,1.554577,FAILED
54.55,24,37,13,6.9,5.65,1.05,6.9,735.6,91.95,110.78,2,1.204785,FAILED
45.45,28,43,15,6.84,5.6,0.97,6.84,729.1,91.14,130.76,3,1.434716,FAILED
54.55,23,32,9,3.84,3.4,0.72,3.84,409.1,51.14,71.16,2,1.391474,FAILED
54.55,22,38,16,5.45,4.63,0.72,5.45,581.4,72.67,96.26,2,1.324618,FAILED
36.36,20,32,12,6.61,5.45,0.89,6.61,705.3,88.16,133.98,4,1.519737,FAILED
36.36,26,41,15,5.42,4.6,0.74,5.42,578,72.25,120.13,4,1.662699,FAILED
45.45,23,33,10,4.78,4.13,0.87,4.78,509.4,63.67,98.45,3,1.546254,FAILED
45.45,29,44,15,6.64,5.47,1,6.64,708.4,88.55,116.79,3,1.318916,FAILED
45.45,20,33,13,3.52,3.15,0.71,3.52,375.2,46.9,77.97,3,1.662473,FAILED
54.55,16,32,16,4.71,4.08,0.83,4.71,502.8,62.85,89.3,2,1.420843,FAILED
54.55,18,34,16,4.36,3.81,0.76,4.36,465.2,58.15,82.24,2,1.414273,FAILED
45.45,17,33,16,4.25,3.73,0.73,4.25,453.5,56.69,93.09,3,1.642089,FAILED
54.55,17,33,16,4.71,4.08,0.83,4.71,502.7,62.84,89.26,2,1.420433,FAILED
54.55,24,38,14,7.46,6.02,1.05,7.45,795.2,99.4,133.96,2,1.347686,FAILED
36.36,21,36,15,6.21,5.17,0.81,6.21,662.3,82.79,122.72,4,1.482305,FAILED
63.64,25,41,16,7.11,5.79,1.14,7.11,758.2,94.77,112.93,1,1.191622,FAILED
54.55,21,33,11,6.88,5.64,1.12,6.88,734,91.75,131.15,2,1.429428,FAILED
36.36,20,32,12,6.42,5.31,0.97,6.41,684.3,85.54,136.71,4,1.5982,FAILED
45.45,22,34,12,6.78,5.57,1.11,6.78,723.2,90.4,117.01,3,1.294358,FAILED
54.55,17,32,15,5.19,4.44,0.83,5.19,553.4,69.18,98.27,2,1.420497,FAILED
63.64,22,34,12,7.71,6.19,1.39,7.71,822.5,102.81,123.42,1,1.200467,FAILED
36.36,20,32,12,4.96,4.27,0.81,4.96,529.3,66.16,108.27,4,1.636487,FAILED
63.64,22,34,12,7.9,6.31,1.43,7.9,842.5,105.31,128.44,1,1.219637,FAILED
36.36,20,32,12,6.23,5.18,0.94,6.23,664.2,83.02,131.76,4,1.587087,FAILED
36.36,21,34,13,5.92,4.97,0.82,5.92,631.4,78.92,124.87,4,1.582235,FAILED
54.55,17,33,16,4.95,4.26,0.88,4.95,528.5,66.06,94.62,2,1.432334,FAILED
63.64,23,35,12,7.7,6.18,1.24,7.7,821.3,102.66,122.2,1,1.190337,FAILED
63.64,25,38,13,7.76,6.22,1.26,7.76,827.5,103.44,123.57,1,1.194606,FAILED
54.55,23,33,10,4.63,4.02,0.89,4.63,494.1,61.76,72.98,2,1.181671,FAILED
54.55,19,33,13,6.19,5.16,1.14,6.19,660.3,82.54,110.34,2,1.336806,FAILED
54.55,19,33,13,6.03,5.04,1.1,6.03,643.2,80.4,106.33,2,1.322512,FAILED
54.55,18,33,15,5.44,4.62,0.88,5.44,580,72.5,104.58,2,1.442483,FAILED
54.55,23,32,9,4.28,3.75,0.81,4.28,456.1,57.01,73.28,2,1.285389,FAILED
63.64,22,37,14,6.19,5.16,0.88,6.19,660.7,82.59,101.98,1,1.234774,FAILED
45.45,23,36,13,6.74,5.54,1.01,6.74,719.2,89.9,114.98,3,1.278977,FAILED
54.55,25,38,13,7.07,5.76,1.07,7.07,753.7,94.21,124.61,2,1.322683,FAILED
54.55,22,36,13,6.85,5.62,1.03,6.85,731.1,91.39,126.42,2,1.383302,FAILED
54.55,23,38,15,7.15,5.81,1.01,7.15,762.2,95.27,125.88,2,1.321297,FAILED
45.45,24,38,14,6.03,5.05,0.84,6.03,643.5,80.44,127.5,3,1.585032,FAILED
63.64,20,38,18,4.52,3.93,0.71,4.52,481.7,60.21,78.2,1,1.298788,FAILED
45.45,18,33,15,4.59,3.99,0.74,4.59,490,61.25,93.61,3,1.528327,FAILED
36.36,21,33,12,6.66,5.48,0.9,6.66,710.4,88.8,135.22,4,1.522748,FAILED
36.36,20,33,13,5.61,4.74,0.79,5.61,598.4,74.8,117.62,4,1.57246,FAILED
54.55,17,33,16,4.48,3.9,0.71,4.47,477.4,59.67,105.18,2,1.762695,FAILED
54.55,20,35,14,5.39,4.59,0.97,5.39,575.2,71.9,92.04,2,1.280111,FAILED
63.64,23,39,15,5.57,4.71,0.79,5.57,594.2,74.27,95.85,1,1.290561,FAILED
36.36,20,32,12,6.18,5.15,0.93,6.18,659.3,82.41,130.58,4,1.584516,FAILED
54.55,22,35,12,6.61,5.45,0.98,6.61,704.7,88.09,116.47,2,1.322171,FAILED
54.55,21,34,12,6.71,5.52,0.99,6.71,715.3,89.41,126.21,2,1.411587,FAILED
54.55,18,33,15,5.11,4.38,0.82,5.11,545,68.13,96.36,2,1.414355,FAILED
63.64,23,34,11,7.85,6.28,1.42,7.85,837,104.63,127.04,1,1.214183,FAILED
54.55,25,37,12,7.08,5.77,1.08,7.08,755.1,94.39,118.69,2,1.257443,FAILED
54.55,24,35,11,4.36,3.81,0.76,4.36,464.9,58.11,74.56,2,1.283084,FAILED
45.45,17,33,16,4.53,3.94,0.78,4.53,482.8,60.35,99.55,3,1.649544,FAILED
36.36,23,32,9,4.53,3.94,0.83,4.53,483.2,60.4,100.17,4,1.658444,FAILED
54.55,18,33,15,5.25,4.48,0.84,5.25,560,70,99.8,2,1.425714,FAILED
45.45,21,32,11,7.15,5.81,1.18,7.14,762.2,95.28,126.11,3,1.323573,FAILED
36.36,24,38,14,5.66,4.78,0.71,5.66,604,75.5,113.33,4,1.50106,FAILED
45.45,32,45,13,7.33,5.94,1.19,7.33,781.8,97.72,119.57,3,1.223598,FAILED
45.45,22,33,11,7.19,5.85,1.19,7.19,767.3,95.91,127.35,3,1.327807,FAILED
45.45,16,32,16,4.38,3.83,0.75,4.38,467.1,58.39,96,3,1.644117,FAILED
54.55,20,32,11,6.87,5.63,1.12,6.87,732.4,91.55,130.75,2,1.428181,FAILED
45.45,20,32,12,7.25,5.89,1.12,7.25,773.5,96.69,132.89,3,1.374392,FAILED
45.45,21,34,13,7.18,5.84,1.11,7.18,765.6,95.7,130.93,3,1.36813,FAILED
54.55,18,33,15,5.34,4.55,0.86,5.34,570,71.25,102.16,2,1.433825,FAILED
45.45,22,32,10,5.88,4.94,0.75,5.88,626.9,78.36,118.74,3,1.515314,FAILED
36.36,27,44,17,5.66,4.78,0.74,5.66,604.1,75.51,119.7,4,1.585221,FAILED
63.64,24,36,12,7.47,6.03,1.2,7.47,796.4,99.55,118.72,1,1.192567,FAILED
54.55,20,32,12,6.48,5.36,1.2,6.48,690.9,86.36,119.51,2,1.383858,FAILED
54.55,19,34,14,3.85,3.41,1.01,3.85,342.4,42.8,49.8,2,1.163551,FAILED
63.64,21,34,13,3.95,3.49,0.81,3.95,351.2,43.9,52.79,1,1.202506,FAILED
63.64,23,37,14,3.85,3.41,0.79,3.85,341.9,42.74,51.55,1,1.20613,FAILED
63.64,23,34,11,3.19,2.89,0.77,3.19,283.9,35.49,26.92,1,0.758524,FAILED
63.64,24,40,16,4.15,3.65,0.77,4.15,368.5,46.06,56.16,1,1.219279,FAILED
54.55,21,34,13,2.81,2.56,0.72,2.81,249.5,31.19,38.16,2,1.223469,FAILED
54.55,20,37,16,3.75,3.33,0.86,3.75,333.1,41.64,48.55,2,1.165946,FAILED
54.55,24,36,12,3.65,3.26,0.75,3.65,324.8,40.6,48.43,2,1.192857,FAILED
54.55,23,34,11,3.82,3.39,0.79,3.82,339.6,42.45,50.46,2,1.188693,FAILED
54.55,22,34,12,2.77,2.54,0.81,2.77,246.4,30.8,26.96,2,0.875325,FAILED
54.55,23,36,13,2.91,2.65,0.85,2.91,258.8,32.35,29.15,2,0.901082,FAILED
63.64,24,35,11,3.93,3.47,0.73,3.92,348.9,43.61,52.71,1,1.208668,FAILED
63.64,24,35,11,3.18,2.88,0.77,3.18,283.1,35.39,26.89,1,0.759819,FAILED
63.64,23,34,11,3.92,3.47,0.73,3.92,348.4,43.55,52.67,1,1.209414,FAILED
63.64,21,34,13,2.87,2.62,0.73,2.87,255.2,31.9,25.82,1,0.809404,FAILED
54.55,21,34,13,2.87,2.62,0.74,2.87,255,31.88,33.64,2,1.055207,FAILED
63.64,20,34,14,2.91,2.65,0.74,2.91,258.3,32.29,38.01,1,1.177145,FAILED
33.33,19,34,15,-2.36,-2.59,-0.08,-2.36,-210.1,-26.26,107.13,5,-4.079589,FAILED
63.64,22,35,13,3.79,3.37,0.71,3.79,303.2,37.9,30,1,0.791557,PASSED
63.64,21,34,13,3.76,3.35,0.71,3.77,301.2,37.65,29.7,1,0.788845,PASSED
66.67,21,34,13,7.76,6.22,0.32,7.76,621,77.63,93.76,1,1.20778,FAILED
72.73,25,40,15,5.26,4.49,0.99,5.26,561.3,70.16,44.27,0,0.630986,PASSED
72.73,20,36,16,4.97,4.27,0.83,4.97,530.1,66.26,50.68,0,0.764866,PASSED
63.64,19,34,15,4.98,4.28,0.72,4.98,531.1,66.39,57.25,1,0.862329,PASSED
63.64,20,35,15,5.59,4.73,0.92,5.59,595.9,74.49,63.52,1,0.852732,PASSED
63.64,27,46,19,6.04,5.05,0.82,6.04,644.3,80.54,56.34,1,0.699528,PASSED
72.73,26,44,18,5.54,4.69,1.03,5.53,590.4,73.8,47.83,0,0.648103,PASSED
63.64,20,37,17,5.35,4.56,0.8,5.35,570.9,71.36,60.76,1,0.851457,PASSED
72.73,28,44,16,6.73,5.53,0.85,6.73,717.6,89.7,58.52,0,0.652397,PASSED
72.73,28,44,16,5.56,4.71,0.8,5.56,593.2,74.15,49.41,0,0.666352,FAILED
63.64,27,46,19,5.05,4.33,0.81,5.05,538.3,67.29,59.35,1,0.882003,PASSED
72.73,19,35,16,5.03,4.32,0.72,5.03,536.9,67.11,43.05,0,0.641484,FAILED
63.64,25,41,16,5.92,4.97,0.86,5.92,631.4,78.93,61.12,1,0.774357,PASSED
63.64,19,35,16,4.97,4.27,0.72,4.97,529.8,66.22,57.36,1,0.866204,PASSED
72.73,20,34,14,4.92,4.24,0.94,4.92,525.1,65.64,47.34,0,0.721207,PASSED
63.64,20,37,17,4.89,4.22,0.72,4.89,521.9,65.24,58.46,1,0.896076,PASSED
63.64,20,35,15,5.32,4.53,0.87,5.32,567.1,70.89,56.69,1,0.79969,PASSED
63.64,23,36,13,4.22,3.71,0.75,4.22,450.5,56.31,39.69,1,0.704848,FAILED
63.64,19,35,16,5.55,4.7,0.82,5.55,591.6,73.95,60.48,1,0.81785,PASSED
63.64,22,35,13,4.36,3.81,0.73,4.36,465.5,58.19,38.78,1,0.666438,FAILED
72.73,20,34,14,5.12,4.38,0.73,5.12,545.7,68.21,44.33,0,0.649905,FAILED
72.73,22,39,17,5.17,4.42,0.73,5.17,551.8,68.97,48.4,0,0.701754,FAILED
72.73,19,34,15,5.11,4.38,0.85,5.11,544.9,68.11,50.03,0,0.734547,PASSED
63.64,21,38,17,5.34,4.55,0.8,5.34,569.4,71.18,66.59,1,0.935516,PASSED
72.73,19,35,16,5.54,4.69,0.78,5.54,590.8,73.85,55.59,0,0.752742,FAILED
63.64,19,35,16,6.05,5.06,0.88,6.05,645.2,80.65,61.07,1,0.757223,PASSED
72.73,20,35,15,5.34,4.54,1,5.34,569.1,71.14,43.35,0,0.609362,PASSED
63.64,28,47,19,5.58,4.72,0.77,5.58,595.6,74.45,55.06,1,0.739557,PASSED
72.73,20,36,16,5.06,4.34,0.84,5.06,540.1,67.51,50.12,0,0.742409,PASSED
72.73,19,35,16,4.89,4.22,0.82,4.89,521.9,65.24,50.97,0,0.781269,PASSED
63.64,19,35,16,5.42,4.61,0.8,5.42,578.4,72.3,59.91,1,0.828631,PASSED
54.55,20,35,15,4.88,4.21,0.74,4.88,520.6,65.07,60.09,2,0.923467,PASSED
72.73,20,35,15,5.1,4.37,0.73,5.1,543.6,67.95,44.05,0,0.648271,FAILED
72.73,21,37,16,5.5,4.66,0.9,5.5,586.5,73.31,50.67,0,0.691174,PASSED
72.73,19,35,16,5.61,4.74,0.92,5.61,597.9,74.74,52.19,0,0.698287,PASSED
63.64,19,34,15,5.57,4.72,0.82,5.57,594.3,74.29,60.01,1,0.80778,PASSED
63.64,20,35,15,4.92,4.24,0.82,4.92,524.9,65.61,65.83,1,1.003353,PASSED
63.64,21,36,15,5.09,4.36,0.85,5.09,543.1,67.89,64.6,1,0.951539,PASSED
63.64,20,35,15,5.16,4.42,0.86,5.16,550.9,68.86,64,1,0.929422,PASSED
72.73,21,39,18,5.03,4.32,0.71,5.03,536.5,67.06,45.72,0,0.681778,FAILED
72.73,22,35,13,4.71,4.08,0.71,4.71,502.3,62.79,44.02,0,0.701067,FAILED
63.64,20,36,16,5.35,4.56,0.79,5.35,570.9,71.36,60.56,1,0.848655,PASSED
63.64,19,35,16,6.04,5.05,0.88,6.04,644.4,80.55,62.39,1,0.77455,PASSED
63.64,22,34,12,4.4,3.84,0.77,4.4,469.5,58.69,37.62,1,0.640995,FAILED
63.64,20,35,15,5.21,4.45,0.87,5.21,555.9,69.49,63.78,1,0.91783,PASSED
72.73,19,35,16,5.87,4.93,0.74,5.87,626.4,78.3,50.88,0,0.649808,PASSED
63.64,20,35,15,5.36,4.56,0.88,5.36,572.1,71.51,56.28,1,0.787023,PASSED
72.73,25,41,16,5.51,4.67,0.78,5.51,587.2,73.4,45.43,0,0.618937,FAILED
72.73,19,35,16,5.93,4.97,0.75,5.93,632.2,79.02,49.08,0,0.621109,PASSED
54.55,20,34,14,4.4,3.84,0.83,4.4,468.9,58.61,53.31,2,0.909572,FAILED
63.64,19,35,16,4.92,4.24,0.72,4.92,524.8,65.6,57.8,1,0.881098,PASSED
72.73,27,44,17,5.07,4.35,0.71,5.07,540.9,67.61,48.51,0,0.717497,FAILED
72.73,21,35,14,5.51,4.67,0.71,5.51,588.1,73.51,49.45,0,0.672698,PASSED
72.73,19,34,15,5.64,4.76,0.72,5.64,601.3,75.16,46.55,0,0.619345,PASSED
63.64,19,35,16,5.52,4.68,0.81,5.52,588.4,73.55,59.79,1,0.812916,PASSED
45.45,21,36,15,4.7,4.07,0.71,4.7,501.1,62.64,63.82,3,1.018838,PASSED
63.64,20,35,15,5.04,4.33,0.76,5.04,538,67.25,53.16,1,0.790483,PASSED
72.73,19,34,15,3.67,3.27,0.71,3.67,391,48.88,37.86,0,0.77455,FAILED
63.64,19,35,16,5.91,4.96,0.86,5.91,630.2,78.78,60.28,1,0.765169,PASSED
63.64,22,39,17,5.63,4.76,0.82,5.63,600.4,75.05,61.06,1,0.813591,PASSED
63.64,20,35,15,4.9,4.22,0.91,4.9,522.6,65.33,45.39,1,0.69478,FAILED
63.64,20,35,15,5.12,4.38,0.83,5.12,546.1,68.26,60.23,1,0.882362,PASSED
63.64,23,39,16,4.66,4.04,0.89,4.66,496.8,62.1,52.89,1,0.851691,PASSED
72.73,20,35,15,5.1,4.37,0.73,5.09,543.5,67.94,44.04,0,0.648219,FAILED
63.64,21,36,15,4.76,4.12,0.89,4.76,508.1,63.51,47.75,1,0.75185,FAILED
72.73,19,35,16,5.68,4.8,0.72,5.68,606.4,75.8,48.53,0,0.640237,PASSED
63.64,20,35,15,4.92,4.24,0.74,4.92,525.1,65.64,53.06,1,0.808349,PASSED
63.64,20,35,15,5.12,4.38,0.76,5.12,546.1,68.26,53.41,1,0.782449,PASSED
63.64,19,35,16,5.62,4.75,0.82,5.62,599.4,74.93,59.86,1,0.798879,PASSED
63.64,27,47,20,5.63,4.76,0.71,5.63,601,75.12,68.32,1,0.909478,PASSED
72.73,19,35,16,4.08,3.59,0.71,4.08,435,54.38,35.89,0,0.659985,FAILED
72.73,19,35,16,5.79,4.87,0.74,5.79,617.2,77.15,47.59,0,0.61685,PASSED
63.64,22,35,13,4.91,4.23,0.85,4.91,523.5,65.44,38.02,1,0.58099,FAILED
63.64,22,35,13,4.27,3.74,0.71,4.27,455.5,56.94,39.05,1,0.68581,FAILED
54.55,20,34,14,4.86,4.19,0.96,4.86,518.1,64.76,62.91,2,0.971433,PASSED
72.73,19,35,16,5.35,4.56,0.76,5.35,570.8,71.35,51.15,0,0.716889,FAILED
72.73,19,34,15,5.07,4.35,0.72,5.07,540.8,67.6,45.48,0,0.672781,FAILED
54.55,25,40,15,4.33,3.79,0.77,4.33,462.3,57.79,58.64,2,1.014708,FAILED
63.64,27,45,18,5.44,4.62,0.87,5.44,580.4,72.55,60.62,1,0.835562,PASSED
63.64,26,44,18,5.46,4.63,0.73,5.46,582.4,72.8,60.73,1,0.834203,PASSED
33.33,17,34,17,0.14,0.14,0,0.14,14.9,1.86,129.08,4,69.397849,PASSED
54.55,20,36,16,6.12,5.11,0.72,6.12,653.1,81.64,87.17,2,1.067736,PASSED
63.64,20,34,14,6.37,5.28,1.35,6.37,679.2,84.9,64.15,1,0.755595,PASSED
63.64,25,41,16,6.87,5.63,0.72,6.88,733.3,91.66,80.51,1,0.878355,PASSED
54.55,24,42,18,6.19,5.16,0.74,6.19,660.3,82.54,83.48,2,1.011388,PASSED
54.55,18,34,15,6.53,5.39,1.65,6.53,696.6,87.08,78.68,2,0.903537,PASSED
54.55,22,37,15,5.1,4.37,0.74,5.1,543.8,67.97,58.25,2,0.856996,PASSED
54.55,20,37,17,5.82,4.89,1.05,5.82,620.7,77.59,82.77,2,1.066761,PASSED
63.64,20,36,15,6.85,5.61,0.78,6.85,730.6,91.32,76.71,1,0.840013,PASSED
54.55,19,34,15,5.6,4.74,1.03,5.6,597.6,74.7,73.27,2,0.980857,PASSED
63.64,20,34,14,6.82,5.59,0.71,6.82,727.7,90.96,85.57,1,0.940743,PASSED
63.64,23,35,12,5.04,4.32,0.73,5.03,537.1,67.14,62.32,1,0.92821,FAILED
63.64,22,34,12,5.39,4.59,0.89,5.39,575.2,71.9,52.78,1,0.734075,PASSED
63.64,19,34,15,7.76,6.22,1.13,7.76,827.9,103.49,79.92,1,0.772249,PASSED
54.55,22,35,12,5.58,4.72,0.84,5.58,594.8,74.35,81.35,2,1.094149,FAILED
54.55,20,37,16,5.83,4.9,1.45,5.83,622.1,77.76,71.02,2,0.913323,PASSED
54.55,19,36,17,6.15,5.13,0.8,6.15,656,82,80.46,2,0.98122,PASSED
63.64,20,35,14,7.54,6.08,0.85,7.54,804.7,100.59,86.88,1,0.863704,PASSED
63.64,21,36,15,5.09,4.36,0.83,5.09,542.4,67.8,59.77,1,0.881563,PASSED
63.64,21,34,13,7.56,6.09,0.81,7.56,806.7,100.84,83.31,1,0.82616,PASSED
63.64,22,35,13,7.97,6.36,0.8,7.97,849.7,106.21,80.47,1,0.75765,PASSED
63.64,20,35,15,7.73,6.2,0.82,7.73,824.1,103.01,82.9,1,0.804776,PASSED
72.73,21,35,14,7.67,6.16,1.4,7.67,818,102.25,65.03,0,0.63599,PASSED
63.64,20,34,14,7.63,6.14,0.81,7.63,814,101.75,81.2,1,0.798034,PASSED
54.55,19,34,15,6.15,5.13,0.73,6.16,656.5,82.06,87.8,2,1.069949,PASSED
63.64,23,37,14,8.13,6.46,0.85,8.13,866.8,108.35,80.95,1,0.747116,PASSED
54.55,17,34,17,6.21,5.17,1.03,6.22,662.9,82.86,82.48,2,0.995414,PASSED
63.64,20,34,13,7.47,6.03,0.84,7.47,796.8,99.6,85.48,1,0.858233,PASSED
63.64,28,45,17,5.59,4.73,1.05,5.59,595.8,74.48,58.84,1,0.790011,PASSED
72.73,27,42,15,7.83,6.27,1.42,7.83,835.3,104.41,49.62,0,0.475242,PASSED
63.64,23,34,11,6.81,5.59,1.05,6.81,726.3,90.79,76.29,1,0.840291,FAILED
63.64,22,37,15,7.76,6.22,0.85,7.76,827.5,103.44,79.83,1,0.771752,PASSED
54.55,21,37,16,6.13,5.11,0.89,6.13,653.7,81.71,72.18,2,0.883368,PASSED
72.73,22,35,13,7.6,6.12,1.38,7.6,810.6,101.32,63.07,0,0.622483,PASSED
54.55,22,40,18,6.15,5.13,0.8,6.15,656.4,82.05,80.22,2,0.977697,PASSED
63.64,19,36,17,7.84,6.27,1.14,7.84,836,104.5,80.8,1,0.773206,PASSED
54.55,26,41,15,6.75,5.55,0.72,6.75,720.4,90.05,85.22,2,0.946363,PASSED
54.55,29,47,18,6.09,5.09,0.81,6.09,649.9,81.24,74.49,2,0.916913,PASSED
63.64,22,34,12,7.42,6,0.72,7.43,792,99,87.79,1,0.886768,PASSED
54.55,25,44,19,5.97,5,1,5.97,636.4,79.55,69.23,2,0.87027,PASSED
63.64,24,40,16,6.4,5.3,0.73,6.4,682.6,85.33,83,1,0.972694,PASSED
63.64,21,36,15,6.4,5.3,1.36,6.4,682.7,85.34,63.05,1,0.738809,PASSED
63.64,23,35,12,6.7,5.51,1.03,6.7,714.3,89.29,73.46,1,0.822713,FAILED
54.55,21,34,13,6.83,5.6,1.23,6.83,729,91.13,80.85,2,0.887194,PASSED
54.55,21,37,16,6.13,5.11,0.71,6.13,653.7,81.71,83.86,2,1.026313,PASSED
63.64,23,37,14,7.52,6.06,0.83,7.52,802.2,100.27,75.63,1,0.754263,PASSED
63.64,22,34,12,5.15,4.41,0.75,5.15,549.1,68.64,65.29,1,0.951195,FAILED
54.55,22,37,15,6.12,5.11,0.73,6.12,653.2,81.65,86.18,2,1.055481,PASSED
63.64,21,35,14,8.13,6.46,1.27,8.13,867.1,108.39,74.94,1,0.691392,PASSED
54.55,21,34,12,5.56,4.71,0.84,5.56,593.5,74.19,81.06,2,1.0926,FAILED
72.73,21,35,14,7.5,6.05,1.45,7.5,799.7,99.96,76.95,0,0.769808,PASSED
54.55,18,34,15,6.29,5.23,1.58,6.29,670.8,83.85,72.98,2,0.870364,PASSED
63.64,22,34,12,7.82,6.26,0.78,7.82,834,104.25,77.83,1,0.746571,PASSED
54.55,20,37,17,5.78,4.86,0.95,5.78,616.4,77.05,75.56,2,0.980662,PASSED
54.55,21,37,16,6.04,5.05,0.79,6.04,644.6,80.58,79.65,2,0.988459,PASSED
54.55,19,35,15,6.32,5.25,1.6,6.32,674.6,84.33,73.78,2,0.874896,PASSED
63.64,26,43,17,8.46,6.67,0.84,8.46,902.3,112.79,83.32,1,0.738718,PASSED
63.64,25,39,14,6.71,5.52,1.3,6.71,715.5,89.44,61.61,1,0.688842,PASSED
63.64,24,39,15,7.41,5.99,0.74,7.41,790.4,98.8,83.27,1,0.842814,PASSED
54.55,18,34,16,6.13,5.11,0.88,6.13,653.5,81.69,71.12,2,0.870608,PASSED
72.73,21,34,13,7.37,5.96,1.42,7.37,785.8,98.23,73.39,0,0.747124,PASSED
63.64,26,47,21,7.47,6.03,1.07,7.47,797.2,99.65,66.52,1,0.667536,PASSED
72.73,22,36,14,7.86,6.29,1.39,7.86,838.8,104.85,68.42,0,0.652551,PASSED
54.55,18,34,16,6.18,5.15,0.89,6.18,659.6,82.45,72.06,2,0.873984,PASSED
63.64,25,41,16,7.69,6.17,1.17,7.69,820,102.5,68.28,1,0.666146,PASSED
63.64,20,36,16,6.97,5.69,0.86,6.97,743.1,92.89,77.15,1,0.830552,PASSED
72.73,21,35,14,8.25,6.54,1.48,8.25,880.2,110.02,78.96,0,0.717688,PASSED
72.73,26,46,20,8.05,6.41,1.41,8.05,858.7,107.34,59.33,0,0.55273,PASSED
54.55,21,35,13,5.74,4.84,0.87,5.74,612.2,76.53,85.36,2,1.11538,FAILED
54.55,20,34,14,6.73,5.53,1.02,6.73,717.8,89.72,79.4,2,0.884975,PASSED
63.64,20,36,16,7.86,6.29,0.81,7.86,838.4,104.8,84.52,1,0.806489,PASSED
