@relation 'Relase 4 integrated shortened-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R14'

@attribute '\% Profitable Months (IS)' numeric
@attribute '# of profits (IS)' numeric
@attribute '# of trades (IS)' numeric
@attribute '# of losses (IS)' numeric
@attribute 'Annual \% Return (IS)' numeric
@attribute 'CAGR (IS)' numeric
@attribute 'CalmarRatio (IS)' numeric
@attribute 'Avg. \% Profit Per Year (IS)' numeric
@attribute 'Net profit in pips (IS)' numeric
@attribute 'Avg. Yearly Profit In Pips (IS)' numeric
@attribute 'Standard Deviation of Yearly Profit In Pips (IS)' numeric
@attribute 'Count Of Losing Years (IS)' numeric
@attribute 'Coefficient of Variation' numeric
@attribute 'Filters result' {PASSED,FAILED}

@data
41.67,25,38,13,9.55,7.35,0.76,9.55,849,106.13,149.86,3,1.412042,FAILED
41.67,23,36,13,8.71,6.84,0.72,8.71,774.6,96.82,129.22,3,1.334642,FAILED
50,23,36,13,6.88,5.64,1.08,6.89,612,76.5,110.32,2,1.442092,FAILED
41.67,25,37,12,9.89,7.56,0.86,9.89,878.7,109.84,148.25,3,1.34969,FAILED
58.33,26,41,15,7.47,6.03,0.95,7.47,663.8,82.97,84.44,1,1.017717,FAILED
58.33,24,39,15,9.72,7.46,0.96,9.72,864.3,108.04,124.02,1,1.147908,FAILED
41.67,26,40,14,8.83,6.91,0.74,8.84,785.3,98.16,142.44,3,1.4511,FAILED
41.67,23,36,13,9.38,7.25,1.16,9.38,833.7,104.21,117.87,3,1.131081,FAILED
41.67,24,36,12,8.33,6.59,1.1,8.33,740.8,92.6,147.56,3,1.593521,FAILED
50,25,41,16,9.02,7.03,0.73,9.02,801.6,100.2,149.29,2,1.48992,FAILED
41.67,27,40,13,9.23,7.15,1.05,9.23,820.2,102.53,128.45,3,1.252804,FAILED
50,22,35,13,8.45,6.67,1.03,8.44,750.7,93.84,153.84,2,1.639386,FAILED
41.67,29,46,17,7.16,5.82,0.75,7.16,636.2,79.52,125.73,3,1.581112,FAILED
58.33,24,41,17,7.38,5.97,0.99,7.38,656.3,82.04,86.52,1,1.054608,FAILED
41.67,23,36,13,10.01,7.63,0.87,10.01,889.8,111.22,153,3,1.375652,FAILED
66.67,24,38,14,7.69,6.17,1.03,7.69,683.3,85.41,85.72,0,1.00363,FAILED
41.67,26,43,17,7.84,6.27,0.84,7.84,696.6,87.07,127.27,3,1.461697,FAILED
41.67,23,36,13,8.1,6.44,1.06,8.1,719.8,89.97,141.64,3,1.574303,FAILED
58.33,23,35,12,9.54,7.34,0.82,9.53,847.6,105.95,139.43,1,1.315998,FAILED
58.33,21,35,14,10.36,7.84,1.36,10.36,920.7,115.09,132.48,1,1.151099,FAILED
58.33,24,36,12,9.62,7.4,0.83,9.62,855.2,106.9,141.53,1,1.323948,FAILED
50,17,34,17,5.01,4.3,1.08,5.01,445.5,55.69,96.84,2,1.738912,FAILED
50,17,34,17,4.93,4.24,1.06,4.93,437.9,54.74,94.42,2,1.724881,FAILED
50,24,40,16,9.72,7.46,0.81,9.73,864.4,108.05,149.97,2,1.387969,FAILED
58.33,22,36,14,10.71,8.04,1.41,10.71,951.9,118.99,141.4,1,1.188335,FAILED
50,23,37,14,7.11,5.79,0.97,7.11,632.1,79.01,108.55,3,1.373877,FAILED
50,22,34,12,7.01,5.73,1.1,7.01,623.5,77.94,113.78,2,1.459841,FAILED
41.67,25,37,12,8.87,6.93,0.82,8.87,788.4,98.55,150.48,3,1.526941,FAILED
41.67,23,35,12,9.12,7.09,0.76,9.12,810.3,101.29,138.08,3,1.363215,FAILED
41.67,25,37,12,8.39,6.63,1.11,8.39,745.7,93.21,148.96,3,1.598112,FAILED
66.67,22,35,13,8.2,6.51,1.11,8.2,729,91.12,86.41,0,0.94831,FAILED
58.33,23,35,12,9.36,7.23,0.83,9.35,831.6,103.95,140.77,1,1.354209,FAILED
66.67,23,36,13,8.11,6.45,1.16,8.11,720.9,90.11,98.17,0,1.089446,FAILED
58.33,22,35,13,8.94,6.97,1.28,8.94,794.3,99.29,124.38,1,1.252694,FAILED
50,23,37,14,9.17,7.12,1,9.17,814.8,101.85,130.79,2,1.284143,FAILED
