Strategy name,Filters result,Symbol,Gross profit (IS),Gross loss (IS),Avg. Profit Per Year (IS),numberof profits (IS),numberof trades (IS),% Profitable Months (IS),# of profits (IS),# of trades (IS),# of losses (IS),Worst Year Profit (IS),Annual % Return (IS),CAGR (IS),CalmarRatio (IS),Avg. % Profit Per Year (IS),AvgProfit Per Year (IS),Standard Deviation of Profit Per Year (IS),Varianceof Profit Per Year (IS),Net profit (IS),Net profit in pips (IS),Avg. Yearly Profit In Pips (IS),Standard Deviation of Yearly Profit In Pips (IS),Variance of Yearly Profit In Pips (IS),Variance of Profit Per Year (IS),Count Of Losing Years (IS),Coefficient of Variation,Net profit (OOS)
Strategy 0.2075,PASSED,CHFJPY_M1_UTC2,9356.4,3648.6,713.38,23,37,63.64,23,37,14,-385.2,7.13,5.81,0.98,7.14,713.38,565.22,319473.09,5707.8,634.2,79.27,62.8,3944.11,319473.09,1,0.79222909,223.2
Strategy 0.2093,FAILED,CHFJPY_M1_UTC2,10536.3,4987.8,693.5,24,41,63.64,24,41,16,-742.5,6.94,5.67,0.75,6.94,693.5,703.82,495360.56,5548.5,616.5,77.06,78.2,6115.56,495360.56,1,1.014793667,65.7
Strategy 0.21,FAILED,CHFJPY_M1_UTC2,11347.2,3742.2,950.63,22,35,63.64,22,35,13,-711.0,9.51,7.33,0.98,9.51,950.63,881.32,776733.27,7605.0,845.0,105.62,97.92,9589.3,776733.27,1,0.927097141,-135.9
Strategy 0.2105,PASSED,CHFJPY_M1_UTC2,9416.7,3709.8,713.25,21,36,63.64,21,36,15,-385.2,7.13,5.81,0.97,7.13,713.25,558.12,311493.0,5706.9,634.1,79.26,62.01,3845.59,311493.0,1,0.782361847,152.1
Strategy 0.2111,FAILED,CHFJPY_M1_UTC2,11686.5,4395.6,911.25,26,40,63.64,26,40,14,-666.0,9.11,7.08,1.0,9.11,911.25,866.46,750754.17,7290.9,810.1,101.26,96.27,9268.57,750754.17,1,0.950720916,-207.9
Strategy 0.218,FAILED,CHFJPY_M1_UTC2,4581.9,2033.1,318.5,22,34,54.55,22,34,12,-224.1,3.19,2.88,0.79,3.19,318.5,398.18,158549.21,2548.8,283.2,35.4,44.24,1957.4,158549.21,2,1.249717514,-432.0
Strategy 0.2205,PASSED,CHFJPY_M1_UTC2,9326.7,3709.8,702.0,21,36,63.64,21,36,15,-385.2,7.02,5.73,0.96,7.02,702.0,547.72,299998.6,5616.9,624.1,78.01,60.86,3703.69,299998.6,1,0.78015639,152.1
Strategy 0.2208,PASSED,CHFJPY_M1_UTC2,9293.4,4286.7,625.75,29,46,63.64,29,46,17,-484.2,6.26,5.2,0.84,6.26,625.75,526.16,276845.84,5006.7,556.3,69.54,58.46,3417.85,276845.84,1,0.840667242,259.2
Strategy 0.228,PASSED,CHFJPY_M1_UTC2,5892.3,2045.7,480.75,23,34,72.73,23,34,11,55.8,4.81,4.15,0.89,4.81,480.75,354.6,125741.11,3846.6,427.4,53.43,39.4,1552.36,125741.11,0,0.737413438,443.7
Strategy 0.2309,FAILED,CHFJPY_M1_UTC2,10552.5,4835.7,714.5,25,40,63.64,25,40,14,-742.5,7.15,5.81,0.76,7.15,714.5,747.35,558533.49,5716.8,635.2,79.4,83.04,6895.48,558533.49,1,1.045843829,-234.0
Strategy 0.2370,FAILED,CHFJPY_M1_UTC2,10132.2,5188.5,617.88,31,47,63.64,31,47,16,-576.0,6.18,5.15,0.76,6.18,617.88,600.87,361042.71,4943.7,549.3,68.66,66.76,4457.32,361042.71,1,0.97232741,-215.1
Strategy 0.2389,FAILED,CHFJPY_M1_UTC2,10278.0,3484.8,849.13,23,38,63.64,23,38,15,-685.8,8.49,6.69,0.87,8.49,849.13,889.48,791177.83,6793.2,754.8,94.35,98.83,9767.63,791177.83,1,1.047482777,-11.7
Strategy 0.2497,FAILED,CHFJPY_M1_UTC2,11447.1,5373.9,759.13,26,45,63.64,26,45,19,-639.9,7.59,6.11,0.88,7.59,759.13,725.79,526773.58,6073.2,674.8,84.35,80.64,6503.38,526773.58,1,0.956016598,25.2
Strategy 0.2503,FAILED,CHFJPY_M1_UTC2,10390.5,3955.5,804.38,24,38,63.64,24,38,14,-494.1,8.04,6.41,1.0,8.04,804.38,679.16,461254.44,6435.0,715.0,89.37,75.46,5694.5,461254.44,1,0.844354929,-419.4
Strategy 0.2504,FAILED,CHFJPY_M1_UTC2,11265.3,3681.9,947.88,23,35,63.64,23,35,12,-810.0,9.48,7.31,0.93,9.48,947.88,943.86,890866.7,7583.4,842.6,105.32,104.87,10998.35,890866.7,1,0.995727307,-160.2
Strategy 0.2542,FAILED,CHFJPY_M1_UTC2,9519.3,4070.7,681.0,23,38,63.64,23,38,15,-576.0,6.81,5.59,0.9,6.81,681.0,601.49,361791.12,5448.6,605.4,75.67,66.83,4466.56,361791.12,1,0.883176953,-5.4
