Strategy name,Filters result,Symbol,Gross profit (IS),Gross loss (IS),Avg. Profit Per Year (IS),numberof profits (IS),numberof trades (IS),% Profitable Months (IS),# of profits (IS),# of trades (IS),# of losses (IS),Worst Year Profit (IS),Annual % Return (IS),CAGR (IS),CalmarRatio (IS),Avg. % Profit Per Year (IS),AvgProfit Per Year (IS),Standard Deviation of Profit Per Year (IS),Varianceof Profit Per Year (IS),Net profit (IS),Net profit in pips (IS),Avg. Yearly Profit In Pips (IS),Standard Deviation of Yearly Profit In Pips (IS),Variance of Yearly Profit In Pips (IS),Variance of Profit Per Year (IS),Count Of Losing Years (IS),Coefficient of Variation,Net profit (OOS)
Strategy 0.2419,FAILED,CHFJPY_M1_UTC2,6525.0,2708.1,477.0,20,35,30.77,20,35,15,-239.4,4.77,4.12,0.72,4.77,477.0,765.45,585921.13,3816.9,424.1,53.01,85.05,7233.59,585921.13,4,1.604414261,-254.7
Strategy 0.250,PASSED,CHFJPY_M1_UTC2,7096.5,3122.1,496.75,20,35,38.46,20,35,15,-255.6,4.97,4.27,0.73,4.97,496.75,766.67,587781.98,3974.4,441.6,55.2,85.19,7256.57,587781.98,3,1.543297101,128.7
Strategy 0.2555,PASSED,CHFJPY_M1_UTC2,7166.7,2957.4,526.13,21,36,38.46,21,36,15,-375.3,5.26,4.49,0.84,5.26,526.13,798.94,638306.11,4209.3,467.7,58.46,88.77,7880.32,638306.11,3,1.51847417,209.7
Strategy 0.2818,PASSED,CHFJPY_M1_UTC2,7075.8,2957.4,514.75,20,35,38.46,20,35,15,-375.3,5.15,4.41,0.82,5.15,514.75,777.31,604207.95,4118.4,457.6,57.2,86.37,7459.36,604207.95,3,1.509965035,209.7
Strategy 0.295,FAILED,CHFJPY_M1_UTC2,4410.0,1573.2,354.5,23,35,53.85,23,35,12,-7.2,3.55,3.17,0.71,3.55,354.5,265.67,70579.36,2836.8,315.2,39.4,29.52,871.35,70579.36,1,0.749238579,-1028.7
Strategy 0.2971,FAILED,CHFJPY_M1_UTC2,8095.5,2088.9,750.75,24,37,38.46,24,37,13,-277.2,7.51,6.06,1.33,7.51,750.75,980.8,961975.0,6006.6,667.4,83.43,108.98,11876.23,961975.0,3,1.306244756,0.9
Strategy 0.3525,PASSED,CHFJPY_M1_UTC2,7233.3,2745.9,560.88,21,36,46.15,21,36,15,-328.5,5.61,4.74,0.81,5.61,560.88,795.99,633593.09,4487.4,498.6,62.32,88.44,7822.14,633593.09,2,1.419127086,96.3
Strategy 0.3642,PASSED,CHFJPY_M1_UTC2,7867.8,3109.5,594.75,26,37,46.15,26,37,11,-375.3,5.95,4.99,0.8,5.95,594.75,795.78,633258.29,4758.3,528.7,66.09,88.42,7818.0,633258.29,2,1.337872598,758.7
Strategy 0.3835,PASSED,CHFJPY_M1_UTC2,6940.8,2957.4,497.88,21,36,38.46,21,36,15,-375.3,4.98,4.28,0.8,4.98,497.88,746.26,556902.7,3983.4,442.6,55.32,82.92,6875.34,556902.7,3,1.498915401,209.7
Strategy 0.4067,FAILED,CHFJPY_M1_UTC2,6471.9,2708.1,470.38,21,36,30.77,21,36,15,-239.4,4.7,4.07,0.71,4.7,470.38,751.78,565167.55,3763.8,418.2,52.28,83.53,6977.38,565167.55,4,1.597742923,-254.7
Strategy 0.418,PASSED,CHFJPY_M1_UTC2,8803.8,2998.8,725.63,26,36,38.46,26,36,10,-302.4,7.26,5.89,0.78,7.26,725.63,979.27,958970.09,5805.0,645.0,80.62,108.81,11839.14,958970.09,3,1.349665096,916.2
Strategy 0.433,FAILED,CHFJPY_M1_UTC2,5768.1,1860.3,488.38,21,35,53.85,21,35,14,-284.4,4.88,4.21,0.79,4.89,488.38,623.85,389188.58,3907.8,434.2,54.27,69.32,4804.8,389188.58,1,1.277317118,-428.4
Strategy 0.435,PASSED,CHFJPY_M1_UTC2,9558.9,4028.4,691.25,29,45,38.46,29,45,16,-302.4,6.91,5.66,0.75,6.91,691.25,932.41,869379.77,5530.5,614.5,76.81,103.6,10733.08,869379.77,3,1.348782711,916.2
Strategy 0.4362,PASSED,CHFJPY_M1_UTC2,7440.3,3092.4,543.38,23,36,38.46,23,36,13,-344.7,5.43,4.62,0.8,5.43,543.38,822.02,675713.85,4347.9,483.1,60.39,91.34,8342.15,675713.85,3,1.51250207,537.3
Strategy 0.442,PASSED,CHFJPY_M1_UTC2,9171.9,3563.1,701.0,26,37,38.46,26,37,11,-302.4,7.01,5.72,0.75,7.01,701.0,942.98,889204.44,5608.8,623.2,77.9,104.78,10977.83,889204.44,3,1.345057766,916.2
Strategy 0.4903,PASSED,CHFJPY_M1_UTC2,9394.2,3602.7,723.88,27,40,38.46,27,40,13,-302.4,7.24,5.88,0.77,7.24,723.88,977.16,954837.1,5791.5,643.5,80.44,108.57,11788.11,954837.1,3,1.349701641,916.2
Strategy 0.503,PASSED,CHFJPY_M1_UTC2,7490.7,2745.9,593.0,20,35,46.15,20,35,15,-328.5,5.93,4.97,0.85,5.93,593.0,868.26,753875.3,4744.8,527.2,65.9,96.47,9307.1,753875.3,2,1.463884674,96.3
Strategy 0.5271,PASSED,CHFJPY_M1_UTC2,7484.4,3248.1,529.5,24,40,38.46,24,40,16,-375.3,5.3,4.51,0.84,5.3,529.5,809.58,655412.3,4236.3,470.7,58.84,89.95,8091.51,655412.3,3,1.528721958,692.1
Strategy 0.5274,PASSED,CHFJPY_M1_UTC2,7635.6,3092.4,567.88,22,35,38.46,22,35,13,-344.7,5.68,4.79,0.83,5.68,567.88,875.02,765666.88,4543.2,504.8,63.1,97.22,9452.68,765666.88,3,1.540729002,537.3
Strategy 0.5278,FAILED,CHFJPY_M1_UTC2,6426.9,2708.1,464.75,21,36,30.77,21,36,15,-239.4,4.65,4.03,0.71,4.65,464.75,740.31,548062.63,3718.8,413.2,51.65,82.26,6766.2,548062.63,4,1.592642788,-254.7
Strategy 0.544,PASSED,CHFJPY_M1_UTC2,6703.2,2957.4,468.13,22,37,38.46,22,37,15,-375.3,4.68,4.06,0.76,4.68,468.13,689.58,475525.05,3745.8,416.2,52.03,76.62,5870.68,475525.05,3,1.472611955,209.7
Strategy 0.718,FAILED,CHFJPY_M1_UTC2,4808.7,1737.0,383.88,22,35,46.15,22,35,13,-331.2,3.84,3.4,0.72,3.84,383.88,548.58,300935.25,3071.7,341.3,42.66,60.95,3715.25,300935.25,2,1.428738865,-159.3
Strategy 0.9,PASSED,CHFJPY_M1_UTC2,7594.2,2745.9,606.0,21,36,46.15,21,36,15,-328.5,6.06,5.07,0.87,6.06,606.0,897.96,806326.03,4848.3,538.7,67.34,99.77,9954.64,806326.03,2,1.481585982,96.3
template,PASSED,CHFJPY_M1_UTC2,18918.9,14583.6,541.88,20,35,46.67,20,35,15,-6136.2,5.42,4.6,0.07,5.42,541.88,3451.6,1.191357018E7,4335.3,481.7,60.21,383.51,147081.12,1.191357018E7,3,6.369539944,3107.7
Strategy 0.2678,PASSED,CHFJPY_M1_UTC2,4301.1,1687.5,326.63,24,35,45.45,24,35,11,-54.0,3.27,2.94,0.86,3.27,326.63,353.21,124755.4,2613.6,290.4,36.3,39.25,1540.19,124755.4,2,1.081267218,546.3
Strategy 0.3783,PASSED,CHFJPY_M1_UTC2,4206.6,1599.3,325.88,24,34,45.45,24,34,10,-54.0,3.26,2.94,0.85,3.26,325.88,354.74,125841.49,2607.3,289.7,36.21,39.42,1553.6,125841.49,2,1.088649544,546.3
template,PASSED,CHFJPY_M1_UTC2,7349.4,4185.0,395.5,22,34,54.55,22,34,12,-1387.8,3.96,3.5,0.2,3.95,395.5,883.95,781359.21,3164.4,351.6,43.95,98.22,9646.41,781359.21,2,2.234812287,1476.9
Strategy 0.1259,PASSED,CHFJPY_M1_UTC2,5171.4,2068.2,387.88,22,37,46.15,22,37,15,-354.6,3.88,3.44,0.76,3.88,387.88,552.11,304826.89,3103.2,344.8,43.1,61.35,3763.29,304826.89,2,1.423433875,322.2
Strategy 0.35,PASSED,CHFJPY_M1_UTC2,5214.6,2068.2,393.25,22,37,46.15,22,37,15,-354.6,3.93,3.48,0.78,3.93,393.25,556.16,309317.54,3146.4,349.6,43.7,61.8,3818.74,309317.54,2,1.414187643,322.2
template,PASSED,CHFJPY_M1_UTC2,22399.2,12710.7,1211.0,22,37,60.0,22,37,15,-1578.6,12.11,8.84,0.34,12.11,1211.0,1406.67,1978728.67,9688.5,1076.5,134.56,156.3,24428.75,1978728.67,2,1.161563615,5378.4
Strategy 0.1392,FAILED,EURAUD_M1_UTC2,4864.72,1092.08,471.5,24,34,54.55,24,34,10,-83.95,4.72,4.08,1.17,4.72,471.5,376.08,141435.53,3772.64,516.8,64.6,51.52,2654.07,141435.53,2,0.79752322,-297.11
Strategy 0.2216,FAILED,EURAUD_M1_UTC2,5018.75,1278.23,467.5,22,32,72.73,22,32,10,76.65,4.68,4.05,0.73,4.68,467.5,383.59,147139.42,3740.52,512.4,64.05,52.55,2761.11,147139.42,0,0.820452771,-272.29
Strategy 0.2904,FAILED,EURAUD_M1_UTC2,7267.88,1706.74,695.13,26,34,63.64,26,34,8,-219.73,6.95,5.68,0.8,6.95,695.13,672.63,452425.14,5561.14,761.8,95.23,92.14,8489.87,452425.14,1,0.967552242,-589.84
Strategy 0.2938,FAILED,EURAUD_M1_UTC2,7065.67,1532.27,691.63,28,34,72.73,28,34,6,65.7,6.92,5.66,0.78,6.92,691.63,462.81,214193.57,5533.4,758.0,94.75,63.4,4019.39,214193.57,0,0.669129288,-474.5
Strategy 0.2982,FAILED,EURAUD_M1_UTC2,6940.11,1532.27,675.88,27,33,63.64,27,33,6,-40.88,6.76,5.55,0.77,6.76,675.88,508.13,258197.66,5407.84,740.8,92.6,69.61,4845.14,258197.66,1,0.751727862,-474.5
Strategy 0.3012,FAILED,EURAUD_M1_UTC2,4791.72,1092.08,462.38,24,34,54.55,24,34,10,-83.95,4.62,4.01,1.15,4.63,462.38,365.55,133625.22,3699.64,506.8,63.35,50.08,2507.51,133625.22,2,0.790528808,-297.11
Strategy 0.3346,FAILED,EURAUD_M1_UTC2,4755.95,1303.78,431.5,21,32,54.55,21,32,11,-51.1,4.32,3.78,0.77,4.32,431.5,361.78,130886.83,3452.17,472.9,59.11,49.56,2456.12,130886.83,2,0.838436813,-104.39
Strategy 0.3576,FAILED,EURAUD_M1_UTC2,4935.53,1051.2,485.5,24,33,54.55,24,33,9,-83.95,4.86,4.19,1.2,4.86,485.5,393.71,155008.15,3884.33,532.1,66.51,53.93,2908.77,155008.15,2,0.81085551,-297.11
Strategy 0.3721,FAILED,EURAUD_M1_UTC2,5094.67,1271.66,477.88,23,32,63.64,23,32,9,-226.3,4.78,4.13,1.13,4.78,477.88,458.46,210188.54,3823.01,523.7,65.46,62.8,3944.24,210188.54,1,0.959364497,-136.51
Strategy 0.3867,FAILED,EURAUD_M1_UTC2,5288.12,1278.23,501.13,23,33,72.73,23,33,10,76.65,5.01,4.3,0.77,5.01,501.13,435.38,189554.8,4009.89,549.3,68.66,59.64,3557.04,189554.8,0,0.868628022,-272.29
Strategy 0.3888,FAILED,EURAUD_M1_UTC2,5128.25,1278.23,481.25,22,32,72.73,22,32,10,76.65,4.81,4.16,0.75,4.81,481.25,399.19,159351.98,3850.02,527.4,65.93,54.68,2990.28,159351.98,0,0.829364477,-272.29
Strategy 0.408,FAILED,EURAUD_M1_UTC2,4126.69,811.03,414.38,22,32,63.64,22,32,10,-156.22,4.14,3.64,2.28,4.14,414.38,304.47,92703.79,3315.66,454.2,56.78,41.71,1739.61,92703.79,1,0.734589644,10.95
Strategy 0.4404,FAILED,EURAUD_M1_UTC2,5124.6,1523.51,450.13,21,33,54.55,21,33,12,-51.1,4.5,3.92,0.79,4.5,450.13,366.92,134626.92,3601.09,493.3,61.66,50.26,2526.31,134626.92,2,0.815115148,-104.39
Strategy 0.4712,FAILED,EURAUD_M1_UTC2,4975.68,1124.2,481.38,22,32,72.73,22,32,10,75.19,4.81,4.16,0.74,4.81,481.38,421.17,177381.36,3851.48,527.6,65.95,57.69,3328.61,177381.36,0,0.874753601,-181.04
Strategy 0.4779,FAILED,EURAUD_M1_UTC2,7249.63,2288.55,620.13,30,41,63.64,30,41,11,-0.73,6.2,5.16,0.99,6.2,620.13,431.89,186529.12,4961.08,679.6,84.95,59.16,3500.26,186529.12,1,0.696409653,-373.76
Strategy 0.4820,FAILED,EURAUD_M1_UTC2,4621.63,1303.78,414.63,21,32,54.55,21,32,11,-51.1,4.15,3.65,0.75,4.15,414.63,345.37,119282.8,3317.85,454.5,56.81,47.31,2238.37,119282.8,2,0.83277592,-104.39
Strategy 0.508,FAILED,EURAUD_M1_UTC2,4341.31,811.03,441.25,22,32,63.64,22,32,10,-156.22,4.41,3.85,2.44,4.41,441.25,334.79,112087.12,3530.28,483.6,60.45,45.86,2103.34,112087.12,1,0.758643507,10.95
Strategy 0.67,FAILED,EURAUD_M1_UTC2,5042.11,1027.84,501.75,24,32,54.55,24,32,8,-83.95,5.02,4.31,1.23,5.02,501.75,418.72,175325.16,4014.27,549.9,68.74,57.36,3290.02,175325.16,2,0.834448647,-297.11
Strategy 0.743,FAILED,EURAUD_M1_UTC2,7116.77,1706.74,676.25,25,33,63.64,25,33,8,-219.73,6.76,5.55,0.78,6.76,676.25,651.24,424109.78,5410.03,741.1,92.64,89.21,7958.53,424109.78,1,0.962974957,-589.84
Strategy 0.78,FAILED,EURAUD_M1_UTC2,5163.29,1151.21,501.5,23,32,63.64,23,32,9,-232.14,5.02,4.31,1.08,5.01,501.5,422.78,178742.25,4012.08,549.6,68.7,57.91,3354.14,178742.25,1,0.84294032,-181.77
Strategy 0.84,PASSED,EURAUD_M1_UTC2,3942.73,816.14,390.75,23,32,54.55,23,32,9,-150.38,3.91,3.46,1.93,3.91,390.75,352.16,124015.15,3126.59,428.3,53.54,48.24,2327.17,124015.15,2,0.901008592,56.21
template,FAILED,EURAUD_M1_UTC2,20458.98,6836.45,1702.75,19,32,58.33,19,32,13,-1073.1,17.03,11.34,0.62,17.03,1702.75,1574.64,2479490.19,13622.53,1866.1,233.26,215.7,46528.24,2479490.19,1,0.924719197,-254.04
Strategy 0.172,FAILED,EURCAD_M1_UTC2,6066.0,2219.25,480.75,21,33,54.55,21,33,12,-171.0,4.81,4.15,0.72,4.81,480.75,490.15,240247.48,3846.75,512.9,64.11,65.35,4271.07,240247.48,2,1.019341756,-929.25
Strategy 0.1804,FAILED,EURCAD_M1_UTC2,6016.5,2219.25,474.63,20,32,54.55,20,32,12,-171.0,4.75,4.11,0.71,4.75,474.63,480.52,230901.25,3797.25,506.3,63.29,64.07,4104.91,230901.25,2,1.012324222,-929.25
Strategy 0.3297,PASSED,EURCAD_M1_UTC2,3535.5,1392.0,267.88,19,32,54.55,19,32,13,-422.25,2.68,2.46,0.73,2.68,267.88,488.2,238339.8,2143.5,285.8,35.73,65.09,4237.15,238339.8,2,1.821718444,21.0
Strategy 0.3937,FAILED,EURCAD_M1_UTC2,6063.75,2219.25,480.5,20,32,54.55,20,32,12,-171.0,4.81,4.15,0.72,4.8,480.5,489.71,239811.02,3844.5,512.6,64.08,65.29,4263.31,239811.02,2,1.018882647,-929.25
template,FAILED,EURCAD_M1_UTC2,11954.25,9381.75,321.5,17,32,50.0,17,32,15,-1490.25,3.22,2.9,0.08,3.21,321.5,1345.16,1809445.89,2572.5,343.0,42.88,179.35,32167.93,1809445.89,3,4.182602612,-50.25
Strategy 0.1072,PASSED,EURCAD_M1_UTC2,10464.0,4290.0,771.75,28,44,53.85,28,44,16,-36.0,7.72,6.19,0.74,7.72,771.75,575.43,331120.69,6174.0,823.2,102.9,76.72,5886.59,331120.69,1,0.745578231,766.5
Strategy 0.1136,PASSED,EURCAD_M1_UTC2,8403.75,3087.0,664.5,21,35,53.85,21,35,14,-317.25,6.65,5.47,0.71,6.65,664.5,609.67,371702.04,5316.75,708.9,88.61,81.29,6608.04,371702.04,1,0.917390814,966.75
Strategy 0.1139,PASSED,EURCAD_M1_UTC2,8596.5,2514.0,760.25,24,36,53.85,24,36,12,-192.75,7.6,6.12,1.15,7.6,760.25,739.75,547228.38,6082.5,811.0,101.37,98.63,9728.5,547228.38,1,0.972970307,706.5
Strategy 0.1154,PASSED,EURCAD_M1_UTC2,10361.25,4235.25,765.75,29,46,53.85,29,46,17,-108.75,7.66,6.16,0.74,7.66,765.75,610.19,372334.22,6126.0,816.8,102.1,81.36,6619.27,372334.22,1,0.796865818,645.75
Strategy 0.1160,PASSED,EURCAD_M1_UTC2,8404.5,3019.5,673.13,23,37,53.85,23,37,14,-129.0,6.73,5.53,0.91,6.73,673.13,541.39,293101.03,5385.0,718.0,89.75,72.19,5210.69,293101.03,1,0.804345404,728.25
Strategy 0.124,PASSED,EURCAD_M1_UTC2,8116.5,3218.25,612.25,21,38,30.77,21,38,17,-342.0,6.12,5.11,0.89,6.12,612.25,1063.55,1131147.41,4898.25,653.1,81.64,141.81,20109.29,1131147.41,4,1.737016169,540.0
Strategy 0.1252,PASSED,EURCAD_M1_UTC2,8374.5,2394.75,747.38,24,36,53.85,24,36,12,-152.25,7.47,6.03,1.06,7.47,747.38,725.52,526378.5,5979.75,797.3,99.66,96.74,9357.84,526378.5,1,0.970700381,836.25
Strategy 0.1270,PASSED,EURCAD_M1_UTC2,8445.75,2514.0,741.38,23,35,53.85,23,35,12,-192.75,7.41,5.99,1.11,7.41,741.38,719.55,517756.22,5931.75,790.9,98.86,95.94,9204.55,517756.22,1,0.970463281,706.5
Strategy 0.1283,PASSED,EURCAD_M1_UTC2,8251.5,3456.75,599.25,21,36,38.46,21,36,15,-281.25,5.99,5.02,0.73,5.99,599.25,935.62,875386.48,4794.75,639.3,79.91,124.75,15562.43,875386.48,3,1.561131273,422.25
Strategy 0.1307,PASSED,EURCAD_M1_UTC2,7995.75,1880.25,764.38,25,36,53.85,25,36,11,-96.0,7.64,6.15,1.31,7.64,764.38,585.81,343175.03,6115.5,815.4,101.93,78.11,6100.89,343175.03,1,0.766310213,766.5
Strategy 0.1362,PASSED,EURCAD_M1_UTC2,8073.0,2509.5,695.38,23,36,53.85,23,36,13,-129.0,6.95,5.69,0.95,6.95,695.38,598.84,358609.05,5563.5,741.8,92.72,79.85,6375.27,358609.05,1,0.861194996,728.25
Strategy 0.143,PASSED,EURCAD_M1_UTC2,8352.0,3456.75,611.88,21,36,38.46,21,36,15,-281.25,6.12,5.11,0.74,6.12,611.88,963.66,928648.33,4895.25,652.7,81.59,128.49,16509.3,928648.33,3,1.574825346,422.25
Strategy 0.1436,PASSED,EURCAD_M1_UTC2,7724.25,3139.5,573.0,21,37,30.77,21,37,16,-333.75,5.73,4.83,0.8,5.73,573.0,1116.11,1245706.95,4584.75,611.3,76.41,148.81,22145.9,1245706.95,4,1.947519958,612.75
Strategy 0.148,PASSED,EURCAD_M1_UTC2,8369.25,2926.5,680.25,22,36,53.85,22,36,14,-505.5,6.8,5.58,0.79,6.8,680.25,718.7,516529.76,5442.75,725.7,90.71,95.83,9182.75,516529.76,1,1.056443612,696.75
Strategy 0.1520,PASSED,EURCAD_M1_UTC2,8294.25,2926.5,670.88,22,36,53.85,22,36,14,-505.5,6.71,5.52,0.78,6.71,670.88,716.05,512731.12,5367.75,715.7,89.46,95.47,9115.22,512731.12,1,1.067180863,696.75
Strategy 0.1559,PASSED,EURCAD_M1_UTC2,9120.75,2937.0,772.88,25,36,53.85,25,36,11,-167.25,7.73,6.2,0.87,7.73,772.88,643.52,414124.03,6183.75,824.5,103.06,85.8,7362.2,414124.03,1,0.832524743,829.5
Strategy 0.1567,PASSED,EURCAD_M1_UTC2,10967.25,4408.5,819.75,26,42,53.85,26,42,16,-107.25,8.2,6.51,0.8,8.2,819.75,696.96,485754.4,6558.75,874.5,109.31,92.93,8635.63,485754.4,1,0.850150947,696.75
Strategy 0.1585,PASSED,EURCAD_M1_UTC2,9612.75,4098.0,689.25,28,45,53.85,28,45,17,-152.25,6.89,5.64,0.77,6.89,689.25,651.06,423877.01,5514.75,735.3,91.91,86.81,7535.59,423877.01,1,0.944510935,836.25
Strategy 0.161,PASSED,EURCAD_M1_UTC2,8640.75,2958.75,710.25,23,37,53.85,23,37,14,-129.0,7.1,5.79,0.86,7.1,710.25,571.73,326869.88,5682.0,757.6,94.7,76.23,5811.02,326869.88,1,0.804963041,709.5
Strategy 0.1623,PASSED,EURCAD_M1_UTC2,8023.5,2394.75,703.5,24,36,53.85,24,36,12,-152.25,7.04,5.74,0.98,7.04,703.5,637.18,405993.02,5628.75,750.5,93.81,84.96,7217.65,405993.02,1,0.905660377,836.25
Strategy 0.1655,PASSED,EURCAD_M1_UTC2,9225.75,2457.75,846.0,27,37,53.85,27,37,10,-48.0,8.46,6.67,0.92,8.46,846.0,645.69,416916.14,6768.0,902.4,112.8,86.09,7411.84,416916.14,1,0.76320922,699.75
Strategy 0.1669,PASSED,EURCAD_M1_UTC2,8284.5,2448.75,729.38,23,36,53.85,23,36,13,-129.0,7.29,5.91,0.89,7.3,729.38,623.16,388325.81,5835.75,778.1,97.26,83.09,6903.57,388325.81,1,0.85430804,709.5
Strategy 0.1680,PASSED,EURCAD_M1_UTC2,8584.5,2733.0,731.38,22,35,53.85,22,35,13,-194.25,7.31,5.93,0.91,7.31,731.38,594.83,353822.87,5851.5,780.2,97.53,79.31,6290.18,353822.87,1,0.813185686,831.0
Strategy 0.1693,PASSED,EURCAD_M1_UTC2,9504.75,4098.0,675.75,29,46,53.85,29,46,17,-152.25,6.76,5.55,0.75,6.76,675.75,664.66,441768.73,5406.75,720.9,90.11,88.62,7853.67,441768.73,1,0.983464654,912.75
Strategy 0.1785,PASSED,EURCAD_M1_UTC2,8178.75,2448.75,716.25,22,35,53.85,22,35,13,-129.0,7.16,5.83,0.87,7.16,716.25,599.9,359878.64,5730.0,764.0,95.5,79.99,6397.84,359878.64,1,0.837591623,709.5
Strategy 0.1806,PASSED,EURCAD_M1_UTC2,8901.0,4206.0,586.88,27,45,30.77,27,45,18,-368.25,5.87,4.93,0.72,5.87,586.88,997.61,995219.02,4695.0,626.0,78.25,133.01,17692.78,995219.02,4,1.699808307,473.25
Strategy 0.1881,PASSED,EURCAD_M1_UTC2,9766.5,4458.75,663.38,24,39,38.46,24,39,15,-386.25,6.63,5.47,0.77,6.64,663.38,939.44,882549.42,5307.75,707.7,88.46,125.26,15689.77,882549.42,3,1.416007235,58.5
Strategy 0.1894,PASSED,EURCAD_M1_UTC2,8578.5,2211.0,795.88,22,36,53.85,22,36,14,-89.25,7.96,6.35,1.46,7.96,795.88,584.06,341131.61,6367.5,849.0,106.13,77.88,6064.56,341131.61,1,0.733817017,758.25
Strategy 0.1994,PASSED,EURCAD_M1_UTC2,8220.75,2888.25,666.5,24,37,53.85,24,37,13,-201.0,6.67,5.49,0.79,6.67,666.5,510.48,260588.78,5332.5,711.0,88.87,68.06,4632.69,260588.78,1,0.765837741,839.25
Strategy 0.2040,PASSED,EURCAD_M1_UTC2,8352.75,3916.5,554.5,28,45,38.46,28,45,17,-487.5,5.55,4.7,0.74,5.55,554.5,882.28,778416.88,4436.25,591.5,73.94,117.64,13838.52,778416.88,3,1.591019746,105.75
Strategy 0.2044,PASSED,EURCAD_M1_UTC2,9006.0,2601.75,800.5,27,37,61.54,27,37,10,23.25,8.01,6.38,0.86,8.01,800.5,568.05,322677.27,6404.25,853.9,106.74,75.74,5736.49,322677.27,0,0.709574667,648.75
Strategy 0.2053,PASSED,EURCAD_M1_UTC2,8018.25,3453.75,570.5,22,37,46.15,22,37,15,-434.25,5.71,4.81,0.76,5.71,570.5,848.19,719427.2,4564.5,608.6,76.07,113.09,12789.82,719427.2,2,1.486657026,125.25
Strategy 0.2083,PASSED,EURCAD_M1_UTC2,8580.75,3181.5,674.88,22,36,53.85,22,36,14,-245.25,6.75,5.54,0.72,6.75,674.88,623.97,389336.41,5399.25,719.9,89.99,83.2,6921.54,389336.41,1,0.924547172,855.75
Strategy 0.2090,PASSED,EURCAD_M1_UTC2,8442.75,3234.75,651.0,23,36,30.77,23,36,13,-199.5,6.51,5.38,0.78,6.51,651.0,1059.86,1123312.64,5208.0,694.4,86.8,141.32,19970.0,1123312.64,4,1.628110599,473.25
Strategy 0.2150,PASSED,EURCAD_M1_UTC2,8107.5,2448.75,707.25,23,36,53.85,23,36,13,-129.0,7.07,5.77,0.86,7.07,707.25,584.89,342091.48,5658.75,754.5,94.31,77.98,6081.63,342091.48,1,0.82684763,709.5
Strategy 0.2293,PASSED,EURCAD_M1_UTC2,8449.5,2514.0,741.88,23,35,53.85,23,35,12,-192.75,7.42,6.0,1.11,7.42,741.88,720.4,518980.05,5935.5,791.4,98.92,96.05,9226.31,518980.05,1,0.970986656,706.5
Strategy 0.2327,PASSED,EURCAD_M1_UTC2,9297.75,2937.0,795.0,26,37,53.85,26,37,11,-167.25,7.95,6.35,0.89,7.95,795.0,676.35,457454.46,6360.75,848.1,106.01,90.18,8132.52,457454.46,1,0.850674465,829.5
Strategy 0.2390,PASSED,EURCAD_M1_UTC2,7892.25,2509.5,672.75,22,35,53.85,22,35,13,-129.0,6.73,5.53,0.91,6.73,672.75,557.48,310778.79,5382.75,717.7,89.71,74.33,5524.96,310778.79,1,0.828558689,728.25
Strategy 0.2399,PASSED,EURCAD_M1_UTC2,8801.25,3285.75,689.38,22,36,53.85,22,36,14,-245.25,6.89,5.64,0.72,6.89,689.38,637.97,407011.33,5515.5,735.4,91.93,85.06,7235.76,407011.33,1,0.925269227,837.0
Strategy 0.2431,PASSED,EURCAD_M1_UTC2,8023.5,2509.5,689.25,23,36,53.85,23,36,13,-129.0,6.89,5.64,0.94,6.89,689.25,587.2,344799.7,5514.0,735.2,91.9,78.29,6129.77,344799.7,1,0.851904244,728.25
Strategy 0.2508,PASSED,EURCAD_M1_UTC2,8749.5,3285.75,682.88,21,35,53.85,21,35,14,-245.25,6.83,5.6,0.71,6.83,682.88,631.25,398476.83,5463.75,728.5,91.06,84.17,7084.03,398476.83,1,0.924335603,837.0
Strategy 0.2541,PASSED,EURCAD_M1_UTC2,8070.0,2448.75,702.63,23,36,53.85,23,36,13,-129.0,7.03,5.73,0.85,7.03,702.63,577.21,333175.84,5621.25,749.5,93.69,76.96,5923.13,333175.84,1,0.821432383,709.5
Strategy 0.2555,PASSED,EURCAD_M1_UTC2,9157.5,3185.25,746.5,26,38,53.85,26,38,12,-167.25,7.47,6.03,0.84,7.47,746.5,599.66,359586.55,5972.25,796.3,99.54,79.95,6392.65,359586.55,1,0.803194696,829.5
Strategy 0.2613,PASSED,EURCAD_M1_UTC2,10789.5,4863.0,740.75,33,51,53.85,33,51,18,-14.25,7.41,5.99,0.8,7.41,740.75,565.81,320141.22,5926.5,790.2,98.77,75.44,5691.4,320141.22,1,0.763794674,597.75
Strategy 0.2629,PASSED,EURCAD_M1_UTC2,10497.75,4228.5,783.63,27,41,53.85,27,41,14,-167.25,7.84,6.27,0.85,7.84,783.63,692.22,479164.56,6269.25,835.9,104.49,92.3,8518.48,479164.56,1,0.883338118,829.5
Strategy 0.2633,PASSED,EURCAD_M1_UTC2,9879.0,2814.0,883.13,24,37,53.85,24,37,13,-41.25,8.83,6.91,0.77,8.83,883.13,633.85,401762.81,7065.0,942.0,117.75,84.51,7142.45,401762.81,1,0.717707006,691.5
Strategy 0.2637,PASSED,EURCAD_M1_UTC2,8538.75,2100.75,804.75,23,36,53.85,23,36,13,-89.25,8.05,6.41,1.48,8.05,804.75,592.31,350832.52,6438.0,858.4,107.3,78.97,6237.02,350832.52,1,0.735973905,758.25
