Strategy name,Symbol,% Profitable Months (IS),# of profits (IS),# of trades (IS),# of losses (IS),Annual % Return (IS),CAGR (IS),CalmarRatio (IS),Avg. % Profit Per Year (IS),Net profit in pips (IS),Avg. Yearly Profit In Pips (IS),Standard Deviation of Yearly Profit In Pips (IS),Count Of Losing Years (IS),Coefficient of Variation,Net profit (OOS),Filters result
Strategy 0.3658,NZDCAD_M1_UTC2,54.55,21,33,11,6.88,5.64,1.12,6.88,734.0,91.75,131.15,2,1.429427793,-306.0,FAILED
Strategy 0.3780,NZDCAD_M1_UTC2,36.36,20,32,12,6.42,5.31,0.97,6.41,684.3,85.54,136.71,4,1.598199673,-411.0,FAILED
Strategy 0.3815,NZDCAD_M1_UTC2,45.45,22,34,12,6.78,5.57,1.11,6.78,723.2,90.4,117.01,3,1.294358407,-498.0,FAILED
Strategy 0.386,NZDCAD_M1_UTC2,54.55,17,32,15,5.19,4.44,0.83,5.19,553.4,69.18,98.27,2,1.420497254,-221.25,FAILED
Strategy 0.3897,NZDCAD_M1_UTC2,63.64,22,34,12,7.71,6.19,1.39,7.71,822.5,102.81,123.42,1,1.200466881,-393.0,FAILED
Strategy 0.3981,NZDCAD_M1_UTC2,36.36,20,32,12,4.96,4.27,0.81,4.96,529.3,66.16,108.27,4,1.636487304,-231.0,FAILED
Strategy 0.401,NZDCAD_M1_UTC2,63.64,22,34,12,7.9,6.31,1.43,7.9,842.5,105.31,128.44,1,1.219637261,-393.0,FAILED
Strategy 0.4030,NZDCAD_M1_UTC2,36.36,20,32,12,6.23,5.18,0.94,6.23,664.2,83.02,131.76,4,1.587087449,-411.0,FAILED
Strategy 0.4041,NZDCAD_M1_UTC2,36.36,21,34,13,5.92,4.97,0.82,5.92,631.4,78.92,124.87,4,1.582235175,-411.0,FAILED
Strategy 0.4193,NZDCAD_M1_UTC2,54.55,17,33,16,4.95,4.26,0.88,4.95,528.5,66.06,94.62,2,1.432334242,-94.5,FAILED
Strategy 0.4195,NZDCAD_M1_UTC2,63.64,23,35,12,7.7,6.18,1.24,7.7,821.3,102.66,122.2,1,1.190337035,-393.0,FAILED
Strategy 0.423,NZDCAD_M1_UTC2,63.64,25,38,13,7.76,6.22,1.26,7.76,827.5,103.44,123.57,1,1.194605568,-393.0,FAILED
Strategy 0.4306,NZDCAD_M1_UTC2,54.55,23,33,10,4.63,4.02,0.89,4.63,494.1,61.76,72.98,2,1.181670984,-50.25,FAILED
Strategy 0.4453,NZDCAD_M1_UTC2,54.55,19,33,13,6.19,5.16,1.14,6.19,660.3,82.54,110.34,2,1.336806397,-318.0,FAILED
Strategy 0.4472,NZDCAD_M1_UTC2,54.55,19,33,13,6.03,5.04,1.1,6.03,643.2,80.4,106.33,2,1.322512438,-318.0,FAILED
Strategy 0.4482,NZDCAD_M1_UTC2,54.55,18,33,15,5.44,4.62,0.88,5.44,580.0,72.5,104.58,2,1.442482759,-221.25,FAILED
Strategy 0.452,NZDCAD_M1_UTC2,54.55,23,32,9,4.28,3.75,0.81,4.28,456.1,57.01,73.28,2,1.285388528,-50.25,FAILED
Strategy 0.4577,NZDCAD_M1_UTC2,63.64,22,37,14,6.19,5.16,0.88,6.19,660.7,82.59,101.98,1,1.234774186,-318.0,FAILED
Strategy 0.4767,NZDCAD_M1_UTC2,45.45,23,36,13,6.74,5.54,1.01,6.74,719.2,89.9,114.98,3,1.278976641,-498.0,FAILED
Strategy 0.4796,NZDCAD_M1_UTC2,54.55,25,38,13,7.07,5.76,1.07,7.07,753.7,94.21,124.61,2,1.322683367,-498.0,FAILED
Strategy 0.4831,NZDCAD_M1_UTC2,54.55,22,36,13,6.85,5.62,1.03,6.85,731.1,91.39,126.42,2,1.383302331,-306.0,FAILED
Strategy 0.5001,NZDCAD_M1_UTC2,54.55,23,38,15,7.15,5.81,1.01,7.15,762.2,95.27,125.88,2,1.321297365,-363.0,FAILED
Strategy 0.5022,NZDCAD_M1_UTC2,45.45,24,38,14,6.03,5.05,0.84,6.03,643.5,80.44,127.5,3,1.585032322,-411.0,FAILED
Strategy 0.5037,NZDCAD_M1_UTC2,63.64,20,38,18,4.52,3.93,0.71,4.52,481.7,60.21,78.2,1,1.298787577,-94.5,FAILED
Strategy 0.5114,NZDCAD_M1_UTC2,45.45,18,33,15,4.59,3.99,0.74,4.59,490.0,61.25,93.61,3,1.528326531,-207.75,FAILED
Strategy 0.5121,NZDCAD_M1_UTC2,36.36,21,33,12,6.66,5.48,0.9,6.66,710.4,88.8,135.22,4,1.522747748,-468.0,FAILED
Strategy 0.5154,NZDCAD_M1_UTC2,36.36,20,33,13,5.61,4.74,0.79,5.61,598.4,74.8,117.62,4,1.572459893,-288.0,FAILED
Strategy 0.5161,NZDCAD_M1_UTC2,54.55,17,33,16,4.48,3.9,0.71,4.47,477.4,59.67,105.18,2,1.762694822,-259.5,FAILED
Strategy 0.5174,NZDCAD_M1_UTC2,54.55,20,35,14,5.39,4.59,0.97,5.39,575.2,71.9,92.04,2,1.280111266,-318.0,FAILED
Strategy 0.5269,NZDCAD_M1_UTC2,63.64,23,39,15,5.57,4.71,0.79,5.57,594.2,74.27,95.85,1,1.290561465,-318.0,FAILED
Strategy 0.5316,NZDCAD_M1_UTC2,36.36,20,32,12,6.18,5.15,0.93,6.18,659.3,82.41,130.58,4,1.584516442,-411.0,FAILED
Strategy 0.5331,NZDCAD_M1_UTC2,54.55,22,35,12,6.61,5.45,0.98,6.61,704.7,88.09,116.47,2,1.322170507,-306.0,FAILED
Strategy 0.5361,NZDCAD_M1_UTC2,54.55,21,34,12,6.71,5.52,0.99,6.71,715.3,89.41,126.21,2,1.411587071,-306.0,FAILED
Strategy 0.5400,NZDCAD_M1_UTC2,54.55,18,33,15,5.11,4.38,0.82,5.11,545.0,68.13,96.36,2,1.41435491,-221.25,FAILED
Strategy 0.5406,NZDCAD_M1_UTC2,63.64,23,34,11,7.85,6.28,1.42,7.85,837.0,104.63,127.04,1,1.214183313,-393.0,FAILED
Strategy 0.5422,NZDCAD_M1_UTC2,54.55,25,37,12,7.08,5.77,1.08,7.08,755.1,94.39,118.69,2,1.257442526,-498.0,FAILED
Strategy 0.5477,NZDCAD_M1_UTC2,54.55,24,35,11,4.36,3.81,0.76,4.36,464.9,58.11,74.56,2,1.283083807,-50.25,FAILED
Strategy 0.5501,NZDCAD_M1_UTC2,45.45,17,33,16,4.53,3.94,0.78,4.53,482.8,60.35,99.55,3,1.649544325,-230.25,FAILED
Strategy 0.557,NZDCAD_M1_UTC2,36.36,23,32,9,4.53,3.94,0.83,4.53,483.2,60.4,100.17,4,1.658443709,-316.5,FAILED
Strategy 0.5628,NZDCAD_M1_UTC2,54.55,18,33,15,5.25,4.48,0.84,5.25,560.0,70.0,99.8,2,1.425714286,-221.25,FAILED
Strategy 0.62,NZDCAD_M1_UTC2,45.45,21,32,11,7.15,5.81,1.18,7.14,762.2,95.28,126.11,3,1.323572628,-498.0,FAILED
Strategy 0.640,NZDCAD_M1_UTC2,36.36,24,38,14,5.66,4.78,0.71,5.66,604.0,75.5,113.33,4,1.501059603,-288.0,FAILED
Strategy 0.642,NZDCAD_M1_UTC2,45.45,32,45,13,7.33,5.94,1.19,7.33,781.8,97.72,119.57,3,1.223598035,-406.5,FAILED
Strategy 0.665,NZDCAD_M1_UTC2,45.45,22,33,11,7.19,5.85,1.19,7.19,767.3,95.91,127.35,3,1.327807319,-498.0,FAILED
Strategy 0.682,NZDCAD_M1_UTC2,45.45,16,32,16,4.38,3.83,0.75,4.38,467.1,58.39,96.0,3,1.644117143,-230.25,FAILED
Strategy 0.755,NZDCAD_M1_UTC2,54.55,20,32,11,6.87,5.63,1.12,6.87,732.4,91.55,130.75,2,1.428181322,-306.0,FAILED
Strategy 0.793,NZDCAD_M1_UTC2,45.45,20,32,12,7.25,5.89,1.12,7.25,773.5,96.69,132.89,3,1.374392388,-363.0,FAILED
Strategy 0.877,NZDCAD_M1_UTC2,45.45,21,34,13,7.18,5.84,1.11,7.18,765.6,95.7,130.93,3,1.368129572,-363.0,FAILED
Strategy 0.884,NZDCAD_M1_UTC2,54.55,18,33,15,5.34,4.55,0.86,5.34,570.0,71.25,102.16,2,1.433824561,-221.25,FAILED
Strategy 0.935,NZDCAD_M1_UTC2,45.45,22,32,10,5.88,4.94,0.75,5.88,626.9,78.36,118.74,3,1.515313936,-230.25,FAILED
Strategy 0.94,NZDCAD_M1_UTC2,36.36,27,44,17,5.66,4.78,0.74,5.66,604.1,75.51,119.7,4,1.585220501,-468.0,FAILED
Strategy 0.956,NZDCAD_M1_UTC2,63.64,24,36,12,7.47,6.03,1.2,7.47,796.4,99.55,118.72,1,1.192566549,-393.0,FAILED
template,NZDCAD_M1_UTC2,54.55,20,32,12,6.48,5.36,1.2,6.48,690.9,86.36,119.51,2,1.383858268,-754.5,FAILED
Strategy 0.103,NZDJPY_M1_UTC2,54.55,19,34,14,3.85,3.41,1.01,3.85,342.4,42.8,49.8,2,1.163551402,-3540.6,FAILED
Strategy 0.1207,NZDJPY_M1_UTC2,63.64,21,34,13,3.95,3.49,0.81,3.95,351.2,43.9,52.79,1,1.202505695,-3230.1,FAILED
Strategy 0.1476,NZDJPY_M1_UTC2,63.64,23,37,14,3.85,3.41,0.79,3.85,341.9,42.74,51.55,1,1.206130089,-2763.0,FAILED
Strategy 0.1544,NZDJPY_M1_UTC2,63.64,23,34,11,3.19,2.89,0.77,3.19,283.9,35.49,26.92,1,0.758523528,-2330.1,FAILED
Strategy 0.1597,NZDJPY_M1_UTC2,63.64,24,40,16,4.15,3.65,0.77,4.15,368.5,46.06,56.16,1,1.219279201,-2808.0,FAILED
Strategy 0.1613,NZDJPY_M1_UTC2,54.55,21,34,13,2.81,2.56,0.72,2.81,249.5,31.19,38.16,2,1.223469061,-954.9,FAILED
Strategy 0.2081,NZDJPY_M1_UTC2,54.55,20,37,16,3.75,3.33,0.86,3.75,333.1,41.64,48.55,2,1.165946206,-3073.5,FAILED
Strategy 0.2212,NZDJPY_M1_UTC2,54.55,24,36,12,3.65,3.26,0.75,3.65,324.8,40.6,48.43,2,1.192857143,-2846.7,FAILED
Strategy 0.225,NZDJPY_M1_UTC2,54.55,23,34,11,3.82,3.39,0.79,3.82,339.6,42.45,50.46,2,1.18869258,-2846.7,FAILED
Strategy 0.245,NZDJPY_M1_UTC2,54.55,22,34,12,2.77,2.54,0.81,2.77,246.4,30.8,26.96,2,0.875324675,-598.5,FAILED
Strategy 0.3529,NZDJPY_M1_UTC2,54.55,23,36,13,2.91,2.65,0.85,2.91,258.8,32.35,29.15,2,0.901081917,-598.5,FAILED
Strategy 0.4138,NZDJPY_M1_UTC2,63.64,24,35,11,3.93,3.47,0.73,3.92,348.9,43.61,52.71,1,1.208667737,-2536.2,FAILED
Strategy 0.4354,NZDJPY_M1_UTC2,63.64,24,35,11,3.18,2.88,0.77,3.18,283.1,35.39,26.89,1,0.759819158,-2330.1,FAILED
Strategy 0.4683,NZDJPY_M1_UTC2,63.64,23,34,11,3.92,3.47,0.73,3.92,348.4,43.55,52.67,1,1.209414466,-2536.2,FAILED
Strategy 0.58,NZDJPY_M1_UTC2,63.64,21,34,13,2.87,2.62,0.73,2.87,255.2,31.9,25.82,1,0.809404389,-288.0,FAILED
Strategy 0.741,NZDJPY_M1_UTC2,54.55,21,34,13,2.87,2.62,0.74,2.87,255.0,31.88,33.64,2,1.055207026,-2909.7,FAILED
Strategy 0.848,NZDJPY_M1_UTC2,63.64,20,34,14,2.91,2.65,0.74,2.91,258.3,32.29,38.01,1,1.177144627,-644.4,FAILED
template,NZDJPY_M1_UTC2,33.33,19,34,15,-2.36,-2.59,-0.08,-2.36,-210.1,-26.26,107.13,5,-4.079588728,-6565.5,FAILED
Strategy 0.1378,NZDUSD_M1_UTC2,63.64,22,35,13,3.79,3.37,0.71,3.79,303.2,37.9,30.0,1,0.791556728,467.0,PASSED
Strategy 0.1525,NZDUSD_M1_UTC2,63.64,21,34,13,3.76,3.35,0.71,3.77,301.2,37.65,29.7,1,0.788844622,467.0,PASSED
template,NZDUSD_M1_UTC2,66.67,21,34,13,7.76,6.22,0.32,7.76,621.0,77.63,93.76,1,1.207780497,-38.0,FAILED
Strategy 0.0,USDCAD_M1_UTC2,72.73,25,40,15,5.26,4.49,0.99,5.26,561.3,70.16,44.27,0,0.630986317,76.5,PASSED
Strategy 0.1212,USDCAD_M1_UTC2,72.73,20,36,16,4.97,4.27,0.83,4.97,530.1,66.26,50.68,0,0.764865681,77.25,PASSED
Strategy 0.1245,USDCAD_M1_UTC2,63.64,19,34,15,4.98,4.28,0.72,4.98,531.1,66.39,57.25,1,0.862328664,174.0,PASSED
Strategy 0.1350,USDCAD_M1_UTC2,63.64,20,35,15,5.59,4.73,0.92,5.59,595.9,74.49,63.52,1,0.85273191,148.5,PASSED
Strategy 0.1387,USDCAD_M1_UTC2,63.64,27,46,19,6.04,5.05,0.82,6.04,644.3,80.54,56.34,1,0.699528185,179.25,PASSED
Strategy 0.1417,USDCAD_M1_UTC2,72.73,26,44,18,5.54,4.69,1.03,5.53,590.4,73.8,47.83,0,0.648102981,76.5,PASSED
Strategy 0.1555,USDCAD_M1_UTC2,63.64,20,37,17,5.35,4.56,0.8,5.35,570.9,71.36,60.76,1,0.851457399,134.25,PASSED
Strategy 0.1606,USDCAD_M1_UTC2,72.73,28,44,16,6.73,5.53,0.85,6.73,717.6,89.7,58.52,0,0.652396878,63.0,PASSED
Strategy 0.1662,USDCAD_M1_UTC2,72.73,28,44,16,5.56,4.71,0.8,5.56,593.2,74.15,49.41,0,0.666351989,-10.5,FAILED
Strategy 0.1668,USDCAD_M1_UTC2,63.64,27,46,19,5.05,4.33,0.81,5.05,538.3,67.29,59.35,1,0.882003269,147.75,PASSED
Strategy 0.1905,USDCAD_M1_UTC2,72.73,19,35,16,5.03,4.32,0.72,5.03,536.9,67.11,43.05,0,0.641484131,-55.5,FAILED
Strategy 0.2433,USDCAD_M1_UTC2,63.64,25,41,16,5.92,4.97,0.86,5.92,631.4,78.93,61.12,1,0.774357025,179.25,PASSED
Strategy 0.2449,USDCAD_M1_UTC2,63.64,19,35,16,4.97,4.27,0.72,4.97,529.8,66.22,57.36,1,0.866203564,174.0,PASSED
Strategy 0.246,USDCAD_M1_UTC2,72.73,20,34,14,4.92,4.24,0.94,4.92,525.1,65.64,47.34,0,0.721206581,76.5,PASSED
Strategy 0.260,USDCAD_M1_UTC2,63.64,20,37,17,4.89,4.22,0.72,4.89,521.9,65.24,58.46,1,0.896076027,174.0,PASSED
Strategy 0.2620,USDCAD_M1_UTC2,63.64,20,35,15,5.32,4.53,0.87,5.32,567.1,70.89,56.69,1,0.79968966,147.75,PASSED
Strategy 0.2795,USDCAD_M1_UTC2,63.64,23,36,13,4.22,3.71,0.75,4.22,450.5,56.31,39.69,1,0.704848162,-42.0,FAILED
Strategy 0.2798,USDCAD_M1_UTC2,63.64,19,35,16,5.55,4.7,0.82,5.55,591.6,73.95,60.48,1,0.817849899,179.25,PASSED
Strategy 0.2858,USDCAD_M1_UTC2,63.64,22,35,13,4.36,3.81,0.73,4.36,465.5,58.19,38.78,1,0.666437532,-151.5,FAILED
Strategy 0.2899,USDCAD_M1_UTC2,72.73,20,34,14,5.12,4.38,0.73,5.12,545.7,68.21,44.33,0,0.649904706,-10.5,FAILED
Strategy 0.3046,USDCAD_M1_UTC2,72.73,22,39,17,5.17,4.42,0.73,5.17,551.8,68.97,48.4,0,0.701754386,-10.5,FAILED
Strategy 0.3198,USDCAD_M1_UTC2,72.73,19,34,15,5.11,4.38,0.85,5.11,544.9,68.11,50.03,0,0.734547056,77.25,PASSED
Strategy 0.3242,USDCAD_M1_UTC2,63.64,21,38,17,5.34,4.55,0.8,5.34,569.4,71.18,66.59,1,0.935515594,179.25,PASSED
Strategy 0.3252,USDCAD_M1_UTC2,72.73,19,35,16,5.54,4.69,0.78,5.54,590.8,73.85,55.59,0,0.752742045,-55.5,FAILED
Strategy 0.3266,USDCAD_M1_UTC2,63.64,19,35,16,6.05,5.06,0.88,6.05,645.2,80.65,61.07,1,0.757222567,179.25,PASSED
Strategy 0.3398,USDCAD_M1_UTC2,72.73,20,35,15,5.34,4.54,1.0,5.34,569.1,71.14,43.35,0,0.609361822,76.5,PASSED
Strategy 0.3402,USDCAD_M1_UTC2,63.64,28,47,19,5.58,4.72,0.77,5.58,595.6,74.45,55.06,1,0.739556749,174.75,PASSED
Strategy 0.3502,USDCAD_M1_UTC2,72.73,20,36,16,5.06,4.34,0.84,5.06,540.1,67.51,50.12,0,0.742408532,77.25,PASSED
Strategy 0.3569,USDCAD_M1_UTC2,72.73,19,35,16,4.89,4.22,0.82,4.89,521.9,65.24,50.97,0,0.78126916,77.25,PASSED
Strategy 0.3621,USDCAD_M1_UTC2,63.64,19,35,16,5.42,4.61,0.8,5.42,578.4,72.3,59.91,1,0.828630705,134.25,PASSED
Strategy 0.3624,USDCAD_M1_UTC2,54.55,20,35,15,4.88,4.21,0.74,4.88,520.6,65.07,60.09,2,0.923467036,38.25,PASSED
Strategy 0.3640,USDCAD_M1_UTC2,72.73,20,35,15,5.1,4.37,0.73,5.1,543.6,67.95,44.05,0,0.648270787,-10.5,FAILED
Strategy 0.365,USDCAD_M1_UTC2,72.73,21,37,16,5.5,4.66,0.9,5.5,586.5,73.31,50.67,0,0.691174465,77.25,PASSED
Strategy 0.3682,USDCAD_M1_UTC2,72.73,19,35,16,5.61,4.74,0.92,5.61,597.9,74.74,52.19,0,0.698287396,77.25,PASSED
Strategy 0.3694,USDCAD_M1_UTC2,63.64,19,34,15,5.57,4.72,0.82,5.57,594.3,74.29,60.01,1,0.80778032,179.25,PASSED
Strategy 0.3718,USDCAD_M1_UTC2,63.64,20,35,15,4.92,4.24,0.82,4.92,524.9,65.61,65.83,1,1.003353147,148.5,PASSED
Strategy 0.3728,USDCAD_M1_UTC2,63.64,21,36,15,5.09,4.36,0.85,5.09,543.1,67.89,64.6,1,0.951539255,148.5,PASSED
Strategy 0.3760,USDCAD_M1_UTC2,63.64,20,35,15,5.16,4.42,0.86,5.16,550.9,68.86,64.0,1,0.929422016,148.5,PASSED
Strategy 0.3785,USDCAD_M1_UTC2,72.73,21,39,18,5.03,4.32,0.71,5.03,536.5,67.06,45.72,0,0.681777513,-55.5,FAILED
Strategy 0.3810,USDCAD_M1_UTC2,72.73,22,35,13,4.71,4.08,0.71,4.71,502.3,62.79,44.02,0,0.701067049,-41.25,FAILED
Strategy 0.3883,USDCAD_M1_UTC2,63.64,20,36,16,5.35,4.56,0.79,5.35,570.9,71.36,60.56,1,0.848654709,134.25,PASSED
Strategy 0.3904,USDCAD_M1_UTC2,63.64,19,35,16,6.04,5.05,0.88,6.04,644.4,80.55,62.39,1,0.774549969,134.25,PASSED
Strategy 0.3910,USDCAD_M1_UTC2,63.64,22,34,12,4.4,3.84,0.77,4.4,469.5,58.69,37.62,1,0.640995059,-42.0,FAILED
Strategy 0.393,USDCAD_M1_UTC2,63.64,20,35,15,5.21,4.45,0.87,5.21,555.9,69.49,63.78,1,0.917829904,148.5,PASSED
Strategy 0.3994,USDCAD_M1_UTC2,72.73,19,35,16,5.87,4.93,0.74,5.87,626.4,78.3,50.88,0,0.649808429,63.0,PASSED
Strategy 0.403,USDCAD_M1_UTC2,63.64,20,35,15,5.36,4.56,0.88,5.36,572.1,71.51,56.28,1,0.787022794,147.75,PASSED
Strategy 0.4147,USDCAD_M1_UTC2,72.73,25,41,16,5.51,4.67,0.78,5.51,587.2,73.4,45.43,0,0.61893733,-10.5,FAILED
Strategy 0.4210,USDCAD_M1_UTC2,72.73,19,35,16,5.93,4.97,0.75,5.93,632.2,79.02,49.08,0,0.62110858,108.0,PASSED
Strategy 0.427,USDCAD_M1_UTC2,54.55,20,34,14,4.4,3.84,0.83,4.4,468.9,58.61,53.31,2,0.909571745,-33.0,FAILED
Strategy 0.4291,USDCAD_M1_UTC2,63.64,19,35,16,4.92,4.24,0.72,4.92,524.8,65.6,57.8,1,0.881097561,174.0,PASSED
Strategy 0.4384,USDCAD_M1_UTC2,72.73,27,44,17,5.07,4.35,0.71,5.07,540.9,67.61,48.51,0,0.717497412,-15.0,FAILED
Strategy 0.4462,USDCAD_M1_UTC2,72.73,21,35,14,5.51,4.67,0.71,5.51,588.1,73.51,49.45,0,0.672697592,103.5,PASSED
Strategy 0.4472,USDCAD_M1_UTC2,72.73,19,34,15,5.64,4.76,0.72,5.64,601.3,75.16,46.55,0,0.619345396,108.0,PASSED
Strategy 0.4557,USDCAD_M1_UTC2,63.64,19,35,16,5.52,4.68,0.81,5.52,588.4,73.55,59.79,1,0.812916383,134.25,PASSED
Strategy 0.4621,USDCAD_M1_UTC2,45.45,21,36,15,4.7,4.07,0.71,4.7,501.1,62.64,63.82,3,1.018837803,38.25,PASSED
Strategy 0.4652,USDCAD_M1_UTC2,63.64,20,35,15,5.04,4.33,0.76,5.04,538.0,67.25,53.16,1,0.790483271,174.75,PASSED
Strategy 0.475,USDCAD_M1_UTC2,72.73,19,34,15,3.67,3.27,0.71,3.67,391.0,48.88,37.86,0,0.774549918,-234.75,FAILED
Strategy 0.4800,USDCAD_M1_UTC2,63.64,19,35,16,5.91,4.96,0.86,5.91,630.2,78.78,60.28,1,0.765168825,179.25,PASSED
Strategy 0.4822,USDCAD_M1_UTC2,63.64,22,39,17,5.63,4.76,0.82,5.63,600.4,75.05,61.06,1,0.813590939,179.25,PASSED
Strategy 0.4847,USDCAD_M1_UTC2,63.64,20,35,15,4.9,4.22,0.91,4.9,522.6,65.33,45.39,1,0.694780346,-33.0,FAILED
Strategy 0.4891,USDCAD_M1_UTC2,63.64,20,35,15,5.12,4.38,0.83,5.12,546.1,68.26,60.23,1,0.882361559,147.75,PASSED
Strategy 0.5013,USDCAD_M1_UTC2,63.64,23,39,16,4.66,4.04,0.89,4.66,496.8,62.1,52.89,1,0.851690821,76.5,PASSED
Strategy 0.5067,USDCAD_M1_UTC2,72.73,20,35,15,5.1,4.37,0.73,5.09,543.5,67.94,44.04,0,0.648219017,-10.5,FAILED
Strategy 0.5126,USDCAD_M1_UTC2,63.64,21,36,15,4.76,4.12,0.89,4.76,508.1,63.51,47.75,1,0.751850102,-33.0,FAILED
Strategy 0.5165,USDCAD_M1_UTC2,72.73,19,35,16,5.68,4.8,0.72,5.68,606.4,75.8,48.53,0,0.640237467,63.0,PASSED
Strategy 0.5174,USDCAD_M1_UTC2,63.64,20,35,15,4.92,4.24,0.74,4.92,525.1,65.64,53.06,1,0.808348568,174.75,PASSED
Strategy 0.521,USDCAD_M1_UTC2,63.64,20,35,15,5.12,4.38,0.76,5.12,546.1,68.26,53.41,1,0.782449458,174.75,PASSED
Strategy 0.5323,USDCAD_M1_UTC2,63.64,19,35,16,5.62,4.75,0.82,5.62,599.4,74.93,59.86,1,0.798878954,134.25,PASSED
Strategy 0.5360,USDCAD_M1_UTC2,63.64,27,47,20,5.63,4.76,0.71,5.63,601.0,75.12,68.32,1,0.909478168,148.5,PASSED
Strategy 0.5367,USDCAD_M1_UTC2,72.73,19,35,16,4.08,3.59,0.71,4.08,435.0,54.38,35.89,0,0.659985289,-234.75,FAILED
Strategy 0.5376,USDCAD_M1_UTC2,72.73,19,35,16,5.79,4.87,0.74,5.79,617.2,77.15,47.59,0,0.616850292,108.0,PASSED
Strategy 0.5422,USDCAD_M1_UTC2,63.64,22,35,13,4.91,4.23,0.85,4.91,523.5,65.44,38.02,1,0.58099022,-42.0,FAILED
Strategy 0.5448,USDCAD_M1_UTC2,63.64,22,35,13,4.27,3.74,0.71,4.27,455.5,56.94,39.05,1,0.685809624,-151.5,FAILED
Strategy 0.55,USDCAD_M1_UTC2,54.55,20,34,14,4.86,4.19,0.96,4.86,518.1,64.76,62.91,2,0.971432983,147.75,PASSED
Strategy 0.5543,USDCAD_M1_UTC2,72.73,19,35,16,5.35,4.56,0.76,5.35,570.8,71.35,51.15,0,0.716888577,-55.5,FAILED
Strategy 0.621,USDCAD_M1_UTC2,72.73,19,34,15,5.07,4.35,0.72,5.07,540.8,67.6,45.48,0,0.672781065,-55.5,FAILED
Strategy 0.688,USDCAD_M1_UTC2,54.55,25,40,15,4.33,3.79,0.77,4.33,462.3,57.79,58.64,2,1.014708427,-33.0,FAILED
Strategy 0.758,USDCAD_M1_UTC2,63.64,27,45,18,5.44,4.62,0.87,5.44,580.4,72.55,60.62,1,0.835561682,147.75,PASSED
Strategy 0.896,USDCAD_M1_UTC2,63.64,26,44,18,5.46,4.63,0.73,5.46,582.4,72.8,60.73,1,0.834203297,174.0,PASSED
template,USDCAD_M1_UTC2,33.33,17,34,17,0.14,0.14,0.0,0.14,14.9,1.86,129.08,4,69.39784946,572.25,PASSED
Strategy 0.1007,USDCAD_M1_UTC2,54.55,20,36,16,6.12,5.11,0.72,6.12,653.1,81.64,87.17,2,1.067736404,396.75,PASSED
Strategy 0.1017,USDCAD_M1_UTC2,63.64,20,34,14,6.37,5.28,1.35,6.37,679.2,84.9,64.15,1,0.755594817,294.0,PASSED
Strategy 0.1043,USDCAD_M1_UTC2,63.64,25,41,16,6.87,5.63,0.72,6.88,733.3,91.66,80.51,1,0.878354789,363.75,PASSED
Strategy 0.1091,USDCAD_M1_UTC2,54.55,24,42,18,6.19,5.16,0.74,6.19,660.3,82.54,83.48,2,1.011388418,482.25,PASSED
Strategy 0.1191,USDCAD_M1_UTC2,54.55,18,34,15,6.53,5.39,1.65,6.53,696.6,87.08,78.68,2,0.903536977,461.25,PASSED
Strategy 0.1263,USDCAD_M1_UTC2,54.55,22,37,15,5.1,4.37,0.74,5.1,543.8,67.97,58.25,2,0.856995733,716.25,PASSED
Strategy 0.1274,USDCAD_M1_UTC2,54.55,20,37,17,5.82,4.89,1.05,5.82,620.7,77.59,82.77,2,1.066761181,313.5,PASSED
Strategy 0.1283,USDCAD_M1_UTC2,63.64,20,36,15,6.85,5.61,0.78,6.85,730.6,91.32,76.71,1,0.840013141,437.25,PASSED
Strategy 0.136,USDCAD_M1_UTC2,54.55,19,34,15,5.6,4.74,1.03,5.6,597.6,74.7,73.27,2,0.98085676,399.0,PASSED
Strategy 0.1378,USDCAD_M1_UTC2,63.64,20,34,14,6.82,5.59,0.71,6.82,727.7,90.96,85.57,1,0.940743184,363.75,PASSED
Strategy 0.1430,USDCAD_M1_UTC2,63.64,23,35,12,5.04,4.32,0.73,5.03,537.1,67.14,62.32,1,0.928209711,-79.5,FAILED
Strategy 0.1492,USDCAD_M1_UTC2,63.64,22,34,12,5.39,4.59,0.89,5.39,575.2,71.9,52.78,1,0.734075104,672.0,PASSED
Strategy 0.1516,USDCAD_M1_UTC2,63.64,19,34,15,7.76,6.22,1.13,7.76,827.9,103.49,79.92,1,0.772248526,373.5,PASSED
Strategy 0.1541,USDCAD_M1_UTC2,54.55,22,35,12,5.58,4.72,0.84,5.58,594.8,74.35,81.35,2,1.094149294,-204.0,FAILED
Strategy 0.1597,USDCAD_M1_UTC2,54.55,20,37,16,5.83,4.9,1.45,5.83,622.1,77.76,71.02,2,0.913323045,461.25,PASSED
Strategy 0.1677,USDCAD_M1_UTC2,54.55,19,36,17,6.15,5.13,0.8,6.15,656.0,82.0,80.46,2,0.981219512,420.0,PASSED
Strategy 0.1685,USDCAD_M1_UTC2,63.64,20,35,14,7.54,6.08,0.85,7.54,804.7,100.59,86.88,1,0.863704146,437.25,PASSED
Strategy 0.1731,USDCAD_M1_UTC2,63.64,21,36,15,5.09,4.36,0.83,5.09,542.4,67.8,59.77,1,0.881563422,287.25,PASSED
Strategy 0.1757,USDCAD_M1_UTC2,63.64,21,34,13,7.56,6.09,0.81,7.56,806.7,100.84,83.31,1,0.826160254,386.25,PASSED
