Strategy name,Symbol,% Profitable Months (IS),# of profits (IS),# of trades (IS),# of losses (IS),Annual % Return (IS),CAGR (IS),CalmarRatio (IS),Avg. % Profit Per Year (IS),Net profit in pips (IS),Avg. Yearly Profit In Pips (IS),Standard Deviation of Yearly Profit In Pips (IS),Count Of Losing Years (IS),Coefficient of Variation,Net profit (OOS),Filters result
Strategy 0.3472,GBPUSD_M1_UTC2,54.55,22,34,12,10.38,7.85,0.87,10.38,830.4,103.8,111.04,2,1.069749518,454.0,PASSED
Strategy 0.3481,GBPUSD_M1_UTC2,45.45,20,32,12,9.21,7.14,0.72,9.21,736.8,92.1,131.93,3,1.432464712,775.0,PASSED
Strategy 0.3573,GBPUSD_M1_UTC2,63.64,21,32,11,10.08,7.67,0.97,10.09,806.8,100.85,128.17,1,1.270897372,575.0,PASSED
Strategy 0.3597,GBPUSD_M1_UTC2,54.55,19,32,13,4.77,4.12,0.73,4.77,381.4,47.67,59.8,2,1.25445773,851.0,PASSED
Strategy 0.3689,GBPUSD_M1_UTC2,45.45,16,32,16,5.6,4.73,0.73,5.6,447.7,55.96,94.54,3,1.689421015,480.0,PASSED
Strategy 0.3719,GBPUSD_M1_UTC2,54.55,17,33,16,6.98,5.7,0.78,6.98,558.6,69.83,106.6,2,1.526564514,558.0,PASSED
Strategy 0.3849,GBPUSD_M1_UTC2,54.55,22,37,15,10.66,8.01,0.89,10.66,852.5,106.56,119.44,2,1.120870871,599.0,PASSED
Strategy 0.3859,GBPUSD_M1_UTC2,54.55,19,32,13,5.2,4.45,0.78,5.2,416.4,52.05,62.47,2,1.200192123,851.0,PASSED
Strategy 0.3909,GBPUSD_M1_UTC2,54.55,23,38,15,9.77,7.49,0.72,9.77,781.7,97.71,126.69,2,1.296591956,616.0,PASSED
Strategy 0.40,GBPUSD_M1_UTC2,63.64,21,37,16,7.16,5.83,0.75,7.16,573.0,71.63,93.32,1,1.302806087,441.0,PASSED
Strategy 0.4138,GBPUSD_M1_UTC2,63.64,19,31,12,7.84,6.27,0.83,7.84,627.0,78.37,104.08,1,1.328059206,513.0,PASSED
Strategy 0.4140,GBPUSD_M1_UTC2,54.55,20,33,13,9.41,7.27,0.76,9.41,753.2,94.15,117.63,2,1.249389272,530.0,PASSED
Strategy 0.4144,GBPUSD_M1_UTC2,54.55,23,41,18,7.11,5.79,0.75,7.11,569.1,71.14,117.64,2,1.653640708,279.0,PASSED
Strategy 0.4216,GBPUSD_M1_UTC2,54.55,19,32,13,7.11,5.79,1.07,7.11,569.1,71.14,109.85,2,1.544138319,413.0,PASSED
Strategy 0.4231,GBPUSD_M1_UTC2,45.45,16,32,16,5.37,4.57,0.71,5.37,429.9,53.74,93.44,3,1.738742092,480.0,PASSED
Strategy 0.4245,GBPUSD_M1_UTC2,45.45,22,34,12,10.07,7.67,0.84,10.07,805.7,100.71,146.28,3,1.45248734,386.0,PASSED
Strategy 0.4340,GBPUSD_M1_UTC2,63.64,21,32,11,9.9,7.56,0.95,9.9,791.8,98.98,124.9,1,1.261871085,575.0,PASSED
Strategy 0.4360,GBPUSD_M1_UTC2,63.64,21,31,10,9.84,7.53,0.94,9.84,787.5,98.44,123.99,1,1.259548964,575.0,PASSED
Strategy 0.4393,GBPUSD_M1_UTC2,45.45,23,34,11,10.28,7.79,0.74,10.27,822.0,102.75,156.97,3,1.527688564,639.0,PASSED
Strategy 0.4398,GBPUSD_M1_UTC2,63.64,19,34,15,8.28,6.56,0.72,8.28,662.6,82.83,87.45,1,1.055776892,392.0,PASSED
Strategy 0.4410,GBPUSD_M1_UTC2,54.55,20,32,12,9.34,7.22,0.76,9.34,747.3,93.41,116.35,2,1.245583985,530.0,PASSED
Strategy 0.4506,GBPUSD_M1_UTC2,54.55,20,33,13,9.94,7.59,0.81,9.94,795.3,99.41,113.63,2,1.143043959,599.0,PASSED
Strategy 0.4630,GBPUSD_M1_UTC2,63.64,19,32,13,8.08,6.43,0.86,8.08,646.3,80.79,108.84,1,1.347196435,513.0,PASSED
Strategy 0.4804,GBPUSD_M1_UTC2,54.55,21,33,12,9.72,7.45,0.78,9.72,777.4,97.18,123.07,2,1.266412842,530.0,PASSED
Strategy 0.4805,GBPUSD_M1_UTC2,54.55,19,32,13,7.02,5.73,1.05,7.02,561.3,70.16,107.76,2,1.535917902,413.0,PASSED
Strategy 0.4897,GBPUSD_M1_UTC2,54.55,19,32,13,4.7,4.07,0.72,4.7,376.4,47.05,59.6,2,1.266737513,927.0,PASSED
Strategy 0.4995,GBPUSD_M1_UTC2,54.55,19,32,13,6.7,5.51,0.99,6.7,536.3,67.04,101.2,2,1.509546539,413.0,PASSED
Strategy 0.4999,GBPUSD_M1_UTC2,45.45,16,32,16,5.97,5.0,0.78,5.97,477.7,59.71,98.72,3,1.653324401,480.0,PASSED
Strategy 0.5077,GBPUSD_M1_UTC2,63.64,19,33,14,8.0,6.38,0.84,8.0,639.9,79.99,101.54,1,1.269408676,513.0,PASSED
Strategy 0.5150,GBPUSD_M1_UTC2,54.55,21,35,14,10.65,8.01,0.81,10.65,852.1,106.51,130.74,2,1.227490376,647.0,PASSED
Strategy 0.5208,GBPUSD_M1_UTC2,63.64,19,32,13,7.79,6.24,0.82,7.79,623.5,77.94,103.24,1,1.324608673,513.0,PASSED
Strategy 0.5241,GBPUSD_M1_UTC2,63.64,19,33,14,8.19,6.5,0.71,8.19,654.9,81.86,91.11,1,1.112997801,392.0,PASSED
Strategy 0.5255,GBPUSD_M1_UTC2,63.64,19,32,13,7.77,6.23,0.82,7.77,621.3,77.66,102.71,1,1.322559876,513.0,PASSED
Strategy 0.53,GBPUSD_M1_UTC2,54.55,22,37,15,9.45,7.29,0.77,9.45,755.9,94.49,114.86,2,1.215578368,530.0,PASSED
Strategy 0.5500,GBPUSD_M1_UTC2,54.55,21,34,13,10.45,7.89,0.88,10.45,835.8,104.48,117.81,2,1.127584227,599.0,PASSED
Strategy 0.5509,GBPUSD_M1_UTC2,63.64,22,37,15,6.78,5.57,0.71,6.78,542.4,67.8,89.77,1,1.324041298,391.0,PASSED
Strategy 0.5844,GBPUSD_M1_UTC2,45.45,22,32,10,9.93,7.58,0.78,9.93,794.5,99.31,113.87,3,1.14661162,707.0,PASSED
Strategy 0.594,GBPUSD_M1_UTC2,54.55,21,34,13,9.76,7.48,0.71,9.76,780.8,97.6,153.07,2,1.568340164,467.0,PASSED
Strategy 0.622,GBPUSD_M1_UTC2,45.45,24,39,15,9.91,7.57,0.77,9.91,793.1,99.14,147.15,3,1.484264676,526.0,PASSED
Strategy 0.692,GBPUSD_M1_UTC2,54.55,26,39,13,9.66,7.42,1.1,9.66,773.2,96.65,130.57,2,1.350957062,442.0,PASSED
Strategy 0.801,GBPUSD_M1_UTC2,54.55,20,33,13,9.72,7.45,0.72,9.72,777.3,97.16,116.71,2,1.201214492,647.0,PASSED
